"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Society","Education And Training","Other Education and Training","Aboriginal and Torres Strait Islander Education","939901"
"Society","Education And Training","Other Education and Training","Education and Training Theory and Methodology","939902"
"Society","Education And Training","Other Education and Training","Equity and Access to Education","939903"
"Society","Education And Training","Other Education and Training","Gender Aspects of Education","939904"
"Society","Education And Training","Other Education and Training","Maori Education","939905"
"Society","Education And Training","Other Education and Training","Pacific Peoples Education","939906"
"Society","Education And Training","Other Education and Training","Special Needs Education","939907"
"Society","Education And Training","Other Education and Training","Workforce Transition and Employment","939908"
"Society","Education And Training","Other Education and Training","Education and Training not elsewhere classified","939999"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Ability and Disability","940101"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Aboriginal and Torres Strait Islander Development and Welfare","940102"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Ageing and Older People","940103"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Carers' Development and Welfare","940104"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Children's/Youth Services and Childcare","940105"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Citizenship and National Identity","940106"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Comparative Structure and Development of Community Services","940107"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Distribution of Income and Wealth","940108"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Employment Services","940109"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Environmental Services","940110"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Ethnicity, Multiculturalism and Migrant Development and Welfare","940111"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Families and Family Services","940112"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Gender and Sexualities","940113"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Maori Development and Welfare","940114"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Pacific Peoples Development and Welfare","940115"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Social Class and Inequalities","940116"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Structure, Delivery and Financing of Community Services","940117"
"Society","Law, Politics And Community Services","Community Service (excl. Work)","Community Service (excl. Work) not elsewhere classified","940199"
"Society","Law, Politics And Community Services","Government and Politics","Civics and Citizenship","940201"
"Society","Law, Politics And Community Services","Government and Politics","Electoral Systems","940202"
"Society","Law, Politics And Community Services","Government and Politics","Political Systems","940203"
"Society","Law, Politics And Community Services","Government and Politics","Public Services Policy Advice and Analysis","940204"
"Society","Law, Politics And Community Services","Government and Politics","Government and Politics not elsewhere classified","940299"
"Society","Law, Politics And Community Services","International Relations","Defence and Security Policy","940301"
"Society","Law, Politics And Community Services","International Relations","International Aid and Development","940302"
"Society","Law, Politics And Community Services","International Relations","International Organisations","940303"
"Society","Law, Politics And Community Services","International Relations","International Political Economy (excl. International Trade)","940304"
"Society","Law, Politics And Community Services","International Relations","International Relations not elsewhere classified","940399"
"Society","Law, Politics And Community Services","Justice and the Law","Civil Justice","940401"
"Society","Law, Politics And Community Services","Justice and the Law","Crime Prevention","940402"
"Society","Law, Politics And Community Services","Justice and the Law","Criminal Justice","940403"
"Society","Law, Politics And Community Services","Justice and the Law","Law Enforcement","940404"
"Society","Law, Politics And Community Services","Justice and the Law","Law Reform","940405"
"Society","Law, Politics And Community Services","Justice and the Law","Legal Processes","940406"
"Society","Law, Politics And Community Services","Justice and the Law","Legislation, Civil and Criminal Codes","940407"
"Society","Law, Politics And Community Services","Justice and the Law","Rehabilitation and Correctional Services","940408"
"Society","Law, Politics And Community Services","Justice and the Law","Justice and the Law not elsewhere classified","940499"
"Society","Law, Politics And Community Services","Work and Institutional Development","Employment Patterns and Change","940501"
"Society","Law, Politics And Community Services","Work and Institutional Development","Professions and Professionalisation","940502"
"Society","Law, Politics And Community Services","Work and Institutional Development","Time Use, Unpaid Work and Volunteering","940503"
"Society","Law, Politics And Community Services","Work and Institutional Development","Work and Family Responsibilities","940504"
"Society","Law, Politics And Community Services","Work and Institutional Development","Workplace Safety","940505"
"Society","Law, Politics And Community Services","Work and Institutional Development","Work and Institutional Development not elsewhere classified","940599"
"Society","Law, Politics And Community Services","Other Law, Politics and Community Services","Law, Politics and Community Services not elsewhere classified","949999"
"Society","Cultural Understanding","Arts and Leisure","Music","950101"
"Society","Cultural Understanding","Arts and Leisure","Organised Sports","950102"
"Society","Cultural Understanding","Arts and Leisure","Recreation","950103"
"Society","Cultural Understanding","Arts and Leisure","The Creative Arts (incl. Graphics and Craft)","950104"
"Society","Cultural Understanding","Arts and Leisure","The Performing Arts (incl. Theatre and Dance)","950105"
"Society","Cultural Understanding","Arts and Leisure","Arts and Leisure not elsewhere classified","950199"
"Society","Cultural Understanding","Communication","Communication Across Languages and Culture","950201"
"Society","Cultural Understanding","Communication","Languages and Literacy","950202"
"Society","Cultural Understanding","Communication","Languages and Literature","950203"
"Society","Cultural Understanding","Communication","The Media","950204"
"Society","Cultural Understanding","Communication","Visual Communication","950205"
"Society","Cultural Understanding","Communication","Communication not elsewhere classified","950299"
"Society","Cultural Understanding","Heritage","Āhuatanga Māori (Māori Tradition)","950301"
"Society","Cultural Understanding","Heritage","Conserving Aboriginal and Torres Strait Islander Heritage","950302"
"Society","Cultural Understanding","Heritage","Conserving Collections and Movable Cultural Heritage","950303"
"Society","Cultural Understanding","Heritage","Conserving Intangible Cultural Heritage","950304"
"Society","Cultural Understanding","Heritage","Conserving Natural Heritage","950305"
"Society","Cultural Understanding","Heritage","Conserving Pacific Peoples Heritage","950306"
"Society","Cultural Understanding","Heritage","Conserving the Historic Environment","950307"
"Society","Cultural Understanding","Heritage","Mātauranga Māori (Māori Knowledge)","950308"
"Society","Cultural Understanding","Heritage","Taonga (Māori Artefacts)","950309"
"Society","Cultural Understanding","Heritage","Tikanga Māori (Māori Customary Practices) ","950310"
"Society","Cultural Understanding","Heritage","Wahi Taonga (Māori Places of Significance)","950311"
"Society","Cultural Understanding","Heritage","Heritage not elsewhere classified","950399"
"Society","Cultural Understanding","Religion and Ethics","Bioethics","950401"
"Society","Cultural Understanding","Religion and Ethics","Business Ethics","950402"
"Society","Cultural Understanding","Religion and Ethics","Environmental Ethics","950403"
"Society","Cultural Understanding","Religion and Ethics","Religion and Society","950404"
"Society","Cultural Understanding","Religion and Ethics","Religious Structures and Ritual","950405"
"Society","Cultural Understanding","Religion and Ethics","Religious Traditions (excl. Structures and Rituals)","950406"
"Society","Cultural Understanding","Religion and Ethics","Social Ethics","950407"
"Society","Cultural Understanding","Religion and Ethics","Technological Ethics","950408"
"Society","Cultural Understanding","Religion and Ethics","Workplace and Organisational Ethics","950409"
"Society","Cultural Understanding","Religion and Ethics","Religion and Ethics not elsewhere classified","950499"
"Society","Cultural Understanding","Understanding Past Societies","Understanding Africa's Past","950501"
"Society","Cultural Understanding","Understanding Past Societies","Understanding Asia's Past","950502"
"Society","Cultural Understanding","Understanding Past Societies","Understanding Australia's Past","950503"
"Society","Cultural Understanding","Understanding Past Societies","Understanding Europe's Past","950504"
"Society","Cultural Understanding","Understanding Past Societies","Understanding New Zealand's Past","950505"
"Society","Cultural Understanding","Understanding Past Societies","Understanding the Past of the Americas","950506"
"Society","Cultural Understanding","Understanding Past Societies","Understanding Past Societies not elsewhere classified","950599"
"Society","Cultural Understanding","Other Cultural Understanding","Cultural Understanding not elsewhere classified","959999"
"Environment","Environment","Air Quality","Antarctic and Sub-Antarctic Air Quality","960101"
"Environment","Environment","Air Quality","Coastal and Estuarine Air Quality","960102"
"Environment","Environment","Air Quality","Farmland, Arable Cropland and Permanent Cropland Air Quality","960103"
"Environment","Environment","Air Quality","Marine Air Quality","960104"
"Environment","Environment","Air Quality","Mining Air Quality","960105"
"Environment","Environment","Air Quality","Urban and Industrial Air Quality","960106"
"Environment","Environment","Air Quality","Air Quality not elsewhere classified","960199"
"Environment","Environment","Atmosphere and Weather","Atmospheric Composition (incl. Greenhouse Gas Inventory)","960201"
"Environment","Environment","Atmosphere and Weather","Atmospheric Processes and Dynamics","960202"
"Environment","Environment","Atmosphere and Weather","Weather","960203"
"Environment","Environment","Atmosphere and Weather","Atmosphere and Weather not elsewhere classified","960299"
"Environment","Environment","Climate and Climate Change","Climate Change Adaptation Measures","960301"
"Environment","Environment","Climate and Climate Change","Climate Change Mitigation Strategies","960302"
"Environment","Environment","Climate and Climate Change","Climate Change Models","960303"
"Environment","Environment","Climate and Climate Change","Climate Variability (excl. Social Impacts)","960304"
"Environment","Environment","Climate and Climate Change","Ecosystem Adaptation to Climate Change","960305"
"Environment","Environment","Climate and Climate Change","Effects of Climate Change and Variability on Antarctic and Sub-Antarctic Environments (excl. Social Impacts)","960306"
"Environment","Environment","Climate and Climate Change","Effects of Climate Change and Variability on Australia (excl. Social Impacts)","960307"
"Environment","Environment","Climate and Climate Change","Effects of Climate Change and Variability on New Zealand (excl. Social Impacts)","960308"
"Environment","Environment","Climate and Climate Change","Effects of Climate Change and Variability on the South Pacific (excl. Australia and New Zealand) (excl. Social Impacts)","960309"
"Environment","Environment","Climate and Climate Change","Global Effects of Climate Change and Variability (excl. Australia, New Zealand, Antarctica and the South Pacific) (excl. Social Impacts)","960310"
"Environment","Environment","Climate and Climate Change","Social Impacts of Climate Change and Variability","960311"
"Environment","Environment","Climate and Climate Change","Climate and Climate Change not elsewhere classified","960399"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Border Biosecurity (incl. Quarantine and Inspection)","960401"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Animal Pests, Diseases and Exotic Species in Coastal and Estuarine Environments","960402"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Animal Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments","960403"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Animal Pests, Diseases and Exotic Species in Forest and Woodlands Environments","960404"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species at Regional or Larger Scales","960405"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species in Fresh, Ground and Surface Water Environments","960406"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species in Marine Environments","960407"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species in Mining Environments","960408"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species in Mountain and High Country Environments","960409"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species in Sparseland, Permanent Grassland and Arid Zone Environments","960410"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species in Sparseland, Permanent Grassland and Arid Zone Environments","960410"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species in Urban and Industrial Environments","960411"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Plant Pests, Diseases and Exotic Species in Coastal and Estuarine Environments","960412"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Plant Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments","960413"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Plant Pests, Diseases and Exotic Species in Forest and Woodlands Environments","960414"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Pre-Border Biosecurity","960415"
"Environment","Environment","Control of Pests, Diseases and Exotic Species","Control of Pests, Diseases and Exotic Species not elsewhere classified","960499"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management at Regional or Larger Scales","960501"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Antarctic and Sub-Antarctic Environments","960502"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Coastal and Estuarine Environments","960503"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Farmland, Arable Cropland and Permanent Cropland Environments","960504"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Forest and Woodlands Environments","960505"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Fresh, Ground and Surface Water Environments","960506"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Marine Environments","960507"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Mining Environments","960508"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Mountain and High Country Environments","960509"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Sparseland, Permanent Grassland and Arid Zone Environments","960510"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management of Urban and Industrial Environments","960511"
"Environment","Environment","Ecosystem Assessment and Management","Ecosystem Assessment and Management not elsewhere classified","960599"
"Environment","Environment","Environmental and Natural Resource Evaluation","Economic Incentives for Environmental Protection","960601"
"Environment","Environment","Environmental and Natural Resource Evaluation","Eco-Verification (excl. Environmental Lifecycle Assessment)","960602"
"Environment","Environment","Environmental and Natural Resource Evaluation","Environmental Lifecycle Assessment","960603"
"Environment","Environment","Environmental and Natural Resource Evaluation","Environmental Management Systems","960604"
"Environment","Environment","Environmental and Natural Resource Evaluation","Institutional Arrangements for Environmental Protection","960605"
"Environment","Environment","Environmental and Natural Resource Evaluation","Rights to Environmental and Natural Resources (excl. Water Allocation)","960606"
"Environment","Environment","Environmental and Natural Resource Evaluation","Rural Land Evaluation","960607"
"Environment","Environment","Environmental and Natural Resource Evaluation","Rural Water Evaluation (incl. Water Quality)","960608"
"Environment","Environment","Environmental and Natural Resource Evaluation","Sustainability Indicators","960609"
"Environment","Environment","Environmental and Natural Resource Evaluation","Urban Land Evaluation","960610"
"Environment","Environment","Environmental and Natural Resource Evaluation","Urban Water Evaluation (incl. Water Quality)","960611"
"Environment","Environment","Environmental and Natural Resource Evaluation","Environmental and Natural Resource Evaluation not elsewhere classified","960699"
"Environment","Environment","Environmental Policy, Legislation and Standards","Coastal and Marine Management Policy","960701"
"Environment","Environment","Environmental Policy, Legislation and Standards","Consumption Patterns, Population Issues and the Environment","960702"
"Environment","Environment","Environmental Policy, Legislation and Standards","Environmental Education and Awareness","960703"
"Environment","Environment","Environmental Policy, Legislation and Standards","Land Stewardship","960704"
"Environment","Environment","Environmental Policy, Legislation and Standards","Rural Land Policy","960705"
"Environment","Environment","Environmental Policy, Legislation and Standards","Rural Water Policy","960706"
"Environment","Environment","Environmental Policy, Legislation and Standards","Trade and Environment","960707"
"Environment","Environment","Environmental Policy, Legislation and Standards","Urban Land Policy","960708"
"Environment","Environment","Environmental Policy, Legislation and Standards","Urban Water Policy","960709"
"Environment","Environment","Environmental Policy, Legislation and Standards","Environmental Policy, Legislation and Standards not elsewhere classified","960799"
"Environment","Environment","Flora, Fauna and Biodiversity","Antarctic and Sub-Antarctic Flora, Fauna and Biodiversity","960801"
"Environment","Environment","Flora, Fauna and Biodiversity","Coastal and Estuarine Flora, Fauna and Biodiversity","960802"
"Environment","Environment","Flora, Fauna and Biodiversity","Documentation of Undescribed Flora and Fauna","960803"
"Environment","Environment","Flora, Fauna and Biodiversity","Farmland, Arable Cropland and Permanent Cropland Flora, Fauna and Biodiversity","960804"
"Environment","Environment","Flora, Fauna and Biodiversity","Flora, Fauna and Biodiversity at Regional or Larger Scales","960805"
"Environment","Environment","Flora, Fauna and Biodiversity","Forest and Woodlands Flora, Fauna and Biodiversity","960806"
"Environment","Environment","Flora, Fauna and Biodiversity","Fresh, Ground and Surface Water Flora, Fauna and Biodiversity","960807"
"Environment","Environment","Flora, Fauna and Biodiversity","Marine Flora, Fauna and Biodiversity","960808"
"Environment","Environment","Flora, Fauna and Biodiversity","Mining Flora, Fauna and Biodiversity","960809"
"Environment","Environment","Flora, Fauna and Biodiversity","Mountain and High Country Flora, Fauna and Biodiversity","960810"
"Environment","Environment","Flora, Fauna and Biodiversity","Sparseland, Permanent Grassland and Arid Zone Flora, Fauna and Biodiversity","960811"
"Environment","Environment","Flora, Fauna and Biodiversity","Urban and Industrial Flora, Fauna and Biodiversity","960812"
"Environment","Environment","Flora, Fauna and Biodiversity","Flora, Fauna and Biodiversity of environments not elsewhere classified","960899"
"Environment","Environment","Land and Water Management","Antarctic and Sub-Antarctic Land and Water Management","960901"
"Environment","Environment","Land and Water Management","Coastal and Estuarine Land Management","960902"
"Environment","Environment","Land and Water Management","Coastal and Estuarine Water Management","960903"
"Environment","Environment","Land and Water Management","Farmland, Arable Cropland and Permanent Cropland Land Management","960904"
"Environment","Environment","Land and Water Management","Farmland, Arable Cropland and Permanent Cropland Water Management","960905"
"Environment","Environment","Land and Water Management","Forest and Woodlands Land Management","960906"
"Environment","Environment","Land and Water Management","Forest and Woodlands Water Management","960907"
"Environment","Environment","Land and Water Management","Mining Land and Water Management","960908"
"Environment","Environment","Land and Water Management","Mountain and High Country Land and Water Management","960909"
"Environment","Environment","Land and Water Management","Sparseland, Permanent Grassland and Arid Zone Land and Water Management","960910"
"Environment","Environment","Land and Water Management","Urban and Industrial Land Management","960911"
"Environment","Environment","Land and Water Management","Urban and Industrial Water Management","960912"
"Environment","Environment","Land and Water Management","Water Allocation and Quantification","960913"
"Environment","Environment","Land and Water Management","Land and Water Management of environments not elsewhere classified","960999"
"Environment","Environment","Natural Hazards","Natural Hazards in Antarctic and Sub-Antarctic Environments","961001"
"Environment","Environment","Natural Hazards","Natural Hazards in Coastal and Estuarine Environments","961002"
"Environment","Environment","Natural Hazards","Natural Hazards in Farmland, Arable Cropland and Permanent Cropland Environments","961003"
"Environment","Environment","Natural Hazards","Natural Hazards in Forest and Woodlands Environments","961004"
"Environment","Environment","Natural Hazards","Natural Hazards in Fresh, Ground and Surface Water Environments","961005"
"Environment","Environment","Natural Hazards","Natural Hazards in Marine Environments","961006"
"Environment","Environment","Natural Hazards","Natural Hazards in Mining Environments","961007"
"Environment","Environment","Natural Hazards","Natural Hazards in Mountain and High Country Environments","961008"
"Environment","Environment","Natural Hazards","Natural Hazards in Sparseland, Permanent Grassland and Arid Zone Environments","961009"
"Environment","Environment","Natural Hazards","Natural Hazards in Urban and Industrial Environments","961010"
"Environment","Environment","Natural Hazards","Natural Hazards not elsewhere classified","961099"
"Environment","Environment","Physical and Chemical Conditions of Water","Physical and Chemical Conditions of Water for Urban and Industrial Use","961101"
"Environment","Environment","Physical and Chemical Conditions of Water","Physical and Chemical Conditions of Water in Coastal and Estuarine Environments","961102"
"Environment","Environment","Physical and Chemical Conditions of Water","Physical and Chemical Conditions of Water in Fresh, Ground and Surface Water Environments (excl. Urban and Industrial Use)","961103"
"Environment","Environment","Physical and Chemical Conditions of Water","Physical and Chemical Conditions of Water in Marine Environments","961104"
"Environment","Environment","Physical and Chemical Conditions of Water","Physical and Chemical Conditions of Water not elsewhere classified","961199"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Coastal and Estuarine Environments","961201"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Farmland, Arable Cropland and Permanent Cropland Environments","961202"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Forest and Woodlands Environments","961203"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Fresh, Ground and Surface Water Environments","961204"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Mining Environments","961205"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Mountain and High Country Environments","961206"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Sparseland, Permanent Grassland and Arid Zone Environments","961207"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Urban and Industrial Environments","961208"
"Environment","Environment","Rehabilitation of Degraded Environments","Rehabilitation of Degraded Environments not elsewhere classified","961299"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Protected Conservation Areas in Antarctic and Sub-Antarctic Environments","961301"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Protected Conservation Areas in Fresh, Ground and Surface Water Environments","961302"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Protected Conservation Areas in Marine Environments","961303"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas in Coastal and Estuarine Environments","961304"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas in Farmland, Arable Cropland and Permanent Cropland Environments","961305"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas in Forest and Woodlands Environments","961306"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas in Mountain and High Country Environments","961307"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas at Regional or Larger Scales","961308"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas in Sparseland, Permanent Grassland and Arid Zone Environments","961309"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas in Urban and Industrial Environments","961310"
"Environment","Environment","Remnant Vegetation and Protected Conservation Areas","Remnant Vegetation and Protected Conservation Areas not elsewhere classified","961399"
"Environment","Environment","Soils","Coastal and Estuarine Soils","961401"
"Environment","Environment","Soils","Farmland, Arable Cropland and Permanent Cropland Soils","961402"
"Environment","Environment","Soils","Forest and Woodlands Soils","961403"
"Environment","Environment","Soils","Mining Soils","961404"
"Environment","Environment","Soils","Mountain and High Country Soils","961405"
"Environment","Environment","Soils","Sparseland, Permanent Grassland and Arid Zone Soils","961406"
"Environment","Environment","Soils","Urban and Industrial Soils","961407"
"Environment","Environment","Soils","Soils not elsewhere classified","961499"
"Environment","Environment","Other Environment","Antarctic and Sub-Antarctic Oceanography","969901"
"Environment","Environment","Other Environment","Marine Oceanic Processes (excl. climate related)","969902"
"Environment","Environment","Other Environment","Environment not elsewhere classified","969999"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Mathematical Sciences","970101"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Physical Sciences","970102"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Chemical Sciences","970103"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Earth Sciences","970104"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Environmental Sciences","970105"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Biological Sciences","970106"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Agricultural and Veterinary Sciences","970107"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Information and Computing Sciences","970108"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Engineering","970109"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Technology","970110"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in the Medical and Health Sciences","970111"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Built Environment and Design","970112"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Education","970113"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Economics","970114"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Commerce, Management, Tourism and Services","970115"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge through Studies of Human Society","970116"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Psychology and Cognitive Sciences","970117"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Law and Legal Studies","970118"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge through Studies of the Creative Arts and Writing","970119"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Languages, Communication and Culture","970120"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in History and Archaeology","970121"
"Expanding Knowledge","Expanding Knowledge","Expanding Knowledge","Expanding Knowledge in Philosophy and Religious Studies","970122"
