"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Live Animals","830503"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Pearls","830504"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Raw Wool","830505"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Unprocessed or Minimally Processed Fish","830506"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Unprocessed or Minimally Processed Milk","830507"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Primary Animal Products not elsewhere classified","830599"
"Economic Development","Animal Production And Animal Primary Products","Environmentally Sustainable Animal Production","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)","839801"
"Economic Development","Animal Production And Animal Primary Products","Environmentally Sustainable Animal Production","Management of Greenhouse Gas Emissions from Animal Production","839802"
"Economic Development","Animal Production And Animal Primary Products","Environmentally Sustainable Animal Production","Management of Liquid Waste from Animal Production (excl. Water)","839803"
"Economic Development","Animal Production And Animal Primary Products","Environmentally Sustainable Animal Production","Management of Solid Waste from Animal Production","839804"
"Economic Development","Animal Production And Animal Primary Products","Environmentally Sustainable Animal Production","Management of Water Consumption by Animal Production","839805"
"Economic Development","Animal Production And Animal Primary Products","Environmentally Sustainable Animal Production","Environmentally Sustainable Animal Production not elsewhere classified","839899"
"Economic Development","Animal Production And Animal Primary Products","Other Animal Production and Animal Primary Products","Animal Welfare","839901"
"Economic Development","Animal Production And Animal Primary Products","Other Animal Production and Animal Primary Products","Fish Product Traceability and Quality Assurance","839902"
"Economic Development","Animal Production And Animal Primary Products","Other Animal Production and Animal Primary Products","Livestock Product Traceability and Quality Assurance","839903"
"Economic Development","Animal Production And Animal Primary Products","Other Animal Production and Animal Primary Products","Animal Production and Animal Primary Products not elsewhere classified","839999"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Aluminium Ore Exploration","840101"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Copper Ore Exploration","840102"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Diamond Exploration","840103"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Iron Ore Exploration","840104"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Precious (Noble) Metal Ore Exploration","840105"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Stone and Clay Exploration","840106"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Titanium Minerals, Zircon, and Rare Earth Metal Ore (e.g. Monazite) Exploration","840107"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Zinc Ore Exploration","840108"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Mineral Exploration","Mineral Exploration not elsewhere classified","840199"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Aluminium Ores","840201"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Copper Ores","840202"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Diamonds","840203"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Iron Ores","840204"
