Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
Built Environment And Design,Design Practice And Management,Visual Communication Design (incl. Graphic Design),120307
Built Environment And Design,Design Practice And Management,Design Practice and Management not elsewhere classified,120399
Built Environment And Design,Engineering Design,Engineering Design Empirical Studies,120401
Built Environment And Design,Engineering Design,Engineering Design Knowledge,120402
Built Environment And Design,Engineering Design,Engineering Design Methods,120403
Built Environment And Design,Engineering Design,Engineering Systems Design,120404
Built Environment And Design,Engineering Design,Models of Engineering Design,120405
Built Environment And Design,Engineering Design,Engineering Design not elsewhere classified,120499
Built Environment And Design,Urban And Regional Planning,Community Planning,120501
Built Environment And Design,Urban And Regional Planning,History and Theory of the Built Environment (excl. Architecture),120502
Built Environment And Design,Urban And Regional Planning,"Housing Markets, Development, Management",120503
Built Environment And Design,Urban And Regional Planning,Land Use and Environmental Planning,120504
Built Environment And Design,Urban And Regional Planning,Regional Analysis and Development,120505
Built Environment And Design,Urban And Regional Planning,Transport Planning,120506
Built Environment And Design,Urban And Regional Planning,Urban Analysis and Development,120507
Built Environment And Design,Urban And Regional Planning,Urban Design,120508
Built Environment And Design,Urban And Regional Planning,Urban and Regional Planning not elsewhere classified,120599
Built Environment And Design,Other Built Environment And Design,Built Environment and Design not elsewhere classified,129999
Education,Education Systems,Continuing and Community Education,130101
Education,Education Systems,Early Childhood Education (excl. Māori),130102
Education,Education Systems,Higher Education,130103
Education,Education Systems,Kura Kaupapa Māori (Māori Primary Education),130104
Education,Education Systems,Primary Education (excl. Māori),130105
Education,Education Systems,Secondary Education,130106
Education,Education Systems,Te Whāriki (Māori Early Childhood Education),130107
Education,Education Systems,"Technical, Further and Workplace Education",130108
Education,Education Systems,Education Systems not elsewhere classified,130199
Education,Curriculum And Pedagogy,"Creative Arts, Media and Communication Curriculum and Pedagogy",130201
Education,Curriculum And Pedagogy,Curriculum and Pedagogy Theory and Development,130202
Education,Curriculum And Pedagogy,"Economics, Business and Management Curriculum and Pedagogy",130203
Education,Curriculum And Pedagogy,"English and Literacy Curriculum and Pedagogy (excl. LOTE, ESL and TESOL)",130204
Education,Curriculum And Pedagogy,"Humanities and Social Sciences Curriculum and Pedagogy (excl. Economics, Business and Management)",130205
Education,Curriculum And Pedagogy,Kōhanga Reo (Māori Language Curriculum and Pedagogy),130206
Education,Curriculum And Pedagogy,"LOTE, ESL and TESOL Curriculum and Pedagogy (excl. Māori)",130207
Education,Curriculum And Pedagogy,Mathematics and Numeracy Curriculum and Pedagogy,130208
Education,Curriculum And Pedagogy,"Medicine, Nursing and Health Curriculum and Pedagogy",130209
Education,Curriculum And Pedagogy,Physical Education and Development Curriculum and Pedagogy,130210
Education,Curriculum And Pedagogy,Religion Curriculum and Pedagogy,130211
Education,Curriculum And Pedagogy,"Science, Technology and Engineering Curriculum and Pedagogy",130212
Education,Curriculum And Pedagogy,Vocational Education and Training Curriculum and Pedagogy,130213
Education,Curriculum And Pedagogy,Curriculum and Pedagogy not elsewhere classified,130299
Education,Specialist Studies In Education,Aboriginal and Torres Strait Islander Education,130301
Education,Specialist Studies In Education,Comparative and Cross-Cultural Education,130302
Education,Specialist Studies In Education,Education Assessment and Evaluation,130303
Education,Specialist Studies In Education,"Educational Administration, Management and Leadership",130304
Education,Specialist Studies In Education,Educational Counselling,130305
Education,Specialist Studies In Education,Educational Technology and Computing,130306
Education,Specialist Studies In Education,"Ethnic Education (excl. Aboriginal and Torres Strait Islander, Māori and Pacific Peoples)",130307
Education,Specialist Studies In Education,"Gender, Sexuality and Education",130308
Education,Specialist Studies In Education,Learning Sciences,130309
Education,Specialist Studies In Education,Māori Education (excl. Early Childhood and Primary Education),130310
Education,Specialist Studies In Education,Pacific Peoples Education,130311
Education,Specialist Studies In Education,Special Education and Disability,130312
Education,Specialist Studies In Education,Teacher Education and Professional Development of Educators,130313
Education,Specialist Studies In Education,Specialist Studies in Education not elsewhere classified,130399
Education,Other Education,Education not elsewhere classified,139999
Economics,Economic Theory,History of Economic Thought,140101
Economics,Economic Theory,Macroeconomic Theory,140102
Economics,Economic Theory,Mathematical Economics,140103
Economics,Economic Theory,Microeconomic Theory,140104
Economics,Economic Theory,Economic Theory not elsewhere classified,140199
Economics,Applied Economics,Agricultural Economics,140201
Economics,Applied Economics,Economic Development and Growth,140202
Economics,Applied Economics,Economic History,140203
Economics,Applied Economics,Economics of Education,140204
Economics,Applied Economics,Environment and Resource Economics,140205
Economics,Applied Economics,Experimental Economics,140206
Economics,Applied Economics,Financial Economics,140207
Economics,Applied Economics,Health Economics,140208
Economics,Applied Economics,Industry Economics and Industrial Organisation,140209
Economics,Applied Economics,International Economics and International Finance,140210
Economics,Applied Economics,Labour Economics,140211
Economics,Applied Economics,Macroeconomics (incl. Monetary and Fiscal Theory),140212
Economics,Applied Economics,Public Economics- Public Choice,140213
Economics,Applied Economics,Public Economics- Publically Provided Goods,140214
Economics,Applied Economics,Public Economics- Taxation and Revenue,140215
Economics,Applied Economics,Tourism Economics,140216
Economics,Applied Economics,Transport Economics,140217
Economics,Applied Economics,Urban and Regional Economics,140218
Economics,Applied Economics,Welfare Economics,140219
Economics,Applied Economics,Applied Economics not elsewhere classified,140299
Economics,Econometrics,Cross-Sectional Analysis,140301
Economics,Econometrics,Econometric and Statistical Methods,140302
Economics,Econometrics,Economic Models and Forecasting,140303
Economics,Econometrics,Panel Data Analysis,140304
Economics,Econometrics,Time-Series Analysis,140305
Economics,Econometrics,Econometrics not elsewhere classified,140399
Economics,Other Economics,Comparative Economic Systems,149901
Economics,Other Economics,Ecological Economics,149902
Economics,Other Economics,Heterodox Economics,149903
Economics,Other Economics,Economics not elsewhere classified,149999
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability",Accounting Theory and Standards,150101
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability",Auditing and Accountability,150102
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability",Financial Accounting,150103
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability",International Accounting,150104
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability",Management Accounting,150105
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability",Sustainability Accounting and Reporting,150106
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability",Taxation Accounting,150107
"Commerce, Management, Tourism And Services","Accounting, Auditing And Accountability","Accounting, Auditing and Accountability not elsewhere classified",150199
"Commerce, Management, Tourism And Services","Banking, Finance And Investment",Finance,150201
"Commerce, Management, Tourism And Services","Banking, Finance And Investment",Financial Econometrics,150202
"Commerce, Management, Tourism And Services","Banking, Finance And Investment",Financial Institutions (incl. Banking),150203
"Commerce, Management, Tourism And Services","Banking, Finance And Investment",Insurance Studies,150204
"Commerce, Management, Tourism And Services","Banking, Finance And Investment",Investment and Risk Management,150205
"Commerce, Management, Tourism And Services","Banking, Finance And Investment","Banking, Finance and Investment not elsewhere classified",150299
"Commerce, Management, Tourism And Services",Business And Management,"Business Information Management (incl. Records, Knowledge and Information Management, and Intelligence)",150301
"Commerce, Management, Tourism And Services",Business And Management,Business Information Systems,150302
"Commerce, Management, Tourism And Services",Business And Management,Corporate Governance and Stakeholder Engagement,150303
"Commerce, Management, Tourism And Services",Business And Management,Entrepreneurship,150304
"Commerce, Management, Tourism And Services",Business And Management,Human Resources Management,150305
"Commerce, Management, Tourism And Services",Business And Management,Industrial Relations,150306
"Commerce, Management, Tourism And Services",Business And Management,Innovation and Technology Management,150307
"Commerce, Management, Tourism And Services",Business And Management,International Business,150308
"Commerce, Management, Tourism And Services",Business And Management,Logistics and Supply Chain Management,150309
"Commerce, Management, Tourism And Services",Business And Management,Organisation and Management Theory,150310
"Commerce, Management, Tourism And Services",Business And Management,Organisational Behaviour,150311
"Commerce, Management, Tourism And Services",Business And Management,Organisational Planning and Management,150312
"Commerce, Management, Tourism And Services",Business And Management,Quality Management,150313
"Commerce, Management, Tourism And Services",Business And Management,Small Business Management,150314
"Commerce, Management, Tourism And Services",Business And Management,Business and Management not elsewhere classified,150399
"Commerce, Management, Tourism And Services",Commercial Services,Food and Hospitality Services,150401
"Commerce, Management, Tourism And Services",Commercial Services,Hospitality Management,150402
"Commerce, Management, Tourism And Services",Commercial Services,Real Estate and Valuation Services,150403
"Commerce, Management, Tourism And Services",Commercial Services,Sport and Leisure Management,150404
"Commerce, Management, Tourism And Services",Commercial Services,Commercial Services not elsewhere classified,150499
"Commerce, Management, Tourism And Services",Marketing,Consumer-Oriented Product or Service Development,150501
"Commerce, Management, Tourism And Services",Marketing,Marketing Communications,150502
"Commerce, Management, Tourism And Services",Marketing,Marketing Management (incl. Strategy and Customer Relations),150503
"Commerce, Management, Tourism And Services",Marketing,Marketing Measurement,150504
"Commerce, Management, Tourism And Services",Marketing,Marketing Research Methodology,150505
"Commerce, Management, Tourism And Services",Marketing,Marketing Theory,150506
"Commerce, Management, Tourism And Services",Marketing,Pricing (incl. Consumer Value Estimation),150507
"Commerce, Management, Tourism And Services",Marketing,Marketing not elsewhere classified,150599
"Commerce, Management, Tourism And Services",Tourism,Impacts of Tourism,150601
"Commerce, Management, Tourism And Services",Tourism,Tourism Forecasting,150602
"Commerce, Management, Tourism And Services",Tourism,Tourism Management,150603
"Commerce, Management, Tourism And Services",Tourism,Tourism Marketing,150604
"Commerce, Management, Tourism And Services",Tourism,Tourism Resource Appraisal,150605
"Commerce, Management, Tourism And Services",Tourism,Tourist Behaviour and Visitor Experience,150606
"Commerce, Management, Tourism And Services",Tourism,Tourism not elsewhere classified,150699
"Commerce, Management, Tourism And Services",Transportation And Freight Services,Air Transportation and Freight Services,150701
"Commerce, Management, Tourism And Services",Transportation And Freight Services,Rail Transportation and Freight Services,150702
"Commerce, Management, Tourism And Services",Transportation And Freight Services,Road Transportation and Freight Services,150703
"Commerce, Management, Tourism And Services",Transportation And Freight Services,Transportation and Freight Services not elsewhere classified,150799
"Commerce, Management, Tourism And Services","Other Commerce, Management, Tourism And Services","Commerce, Management, Tourism and Services not elsewhere classified",159999
Studies In Human Society,Anthropology,Anthropology of Development,160101
Studies In Human Society,Anthropology,Biological (Physical) Anthropology,160102
Studies In Human Society,Anthropology,Linguistic Anthropology,160103
Studies In Human Society,Anthropology,Social and Cultural Anthropology,160104
Studies In Human Society,Anthropology,Anthropology not elsewhere classified,160199
Studies In Human Society,Criminology,Causes and Prevention of Crime,160201
Studies In Human Society,Criminology,"Correctional Theory, Offender Treatment and Rehabilitation",160202
Studies In Human Society,Criminology,Courts and Sentencing,160203
Studies In Human Society,Criminology,Criminological Theories,160204
Studies In Human Society,Criminology,"Police Administration, Procedures and Practice ",160205
Studies In Human Society,Criminology,Private Policing and Security Services,160206
Studies In Human Society,Criminology,Criminology not elsewhere classified,160299
Studies In Human Society,Demography,Family and Household Studies,160301
Studies In Human Society,Demography,Fertility,160302
Studies In Human Society,Demography,Migration,160303
Studies In Human Society,Demography,Mortality,160304
Studies In Human Society,Demography,Population Trends and Policies,160305
Studies In Human Society,Demography,Demography not elsewhere classified,160399
Studies In Human Society,Human Geography,Economic Geography,160401
Studies In Human Society,Human Geography,"Recreation, Leisure and Tourism Geography ",160402
Studies In Human Society,Human Geography,Social and Cultural Geography,160403
Studies In Human Society,Human Geography,Urban and Regional Studies (excl. Planning),160404
Studies In Human Society,Human Geography,Human Geography not elsewhere classified,160499
Studies In Human Society,Policy And Administration,Aboriginal and Torres Strait Islander Policy,160501
Studies In Human Society,Policy And Administration,Arts and Cultural Policy,160502
Studies In Human Society,Policy And Administration,Communications and Media Policy,160503
Studies In Human Society,Policy And Administration,Crime Policy,160504
Studies In Human Society,Policy And Administration,Economic Development Policy,160505
Studies In Human Society,Policy And Administration,Education Policy,160506
Studies In Human Society,Policy And Administration,Environment Policy,160507
Studies In Human Society,Policy And Administration,Health Policy,160508
Studies In Human Society,Policy And Administration,Public Administration,160509
Studies In Human Society,Policy And Administration,Public Policy,160510
Studies In Human Society,Policy And Administration,"Research, Science and Technology Policy",160511
Studies In Human Society,Policy And Administration,Social Policy,160512
Studies In Human Society,Policy And Administration,Tourism Policy,160513
Studies In Human Society,Policy And Administration,Urban Policy,160514
Studies In Human Society,Policy And Administration,Policy and Administration not elsewhere classified,160599
Studies In Human Society,Political Science,Australian Government and Politics,160601
Studies In Human Society,Political Science,Citizenship,160602
Studies In Human Society,Political Science,Comparative Government and Politics,160603
Studies In Human Society,Political Science,Defence Studies,160604
Studies In Human Society,Political Science,Environmental Politics,160605
Studies In Human Society,Political Science,Government and Politics of Asia and the Pacific,160606
Studies In Human Society,Political Science,International Relations,160607
Studies In Human Society,Political Science,New Zealand Government and Politics,160608
Studies In Human Society,Political Science,Political Theory and Political Philosophy,160609
Studies In Human Society,Political Science,Political Science not elsewhere classified,160699
Studies In Human Society,Social Work,Clinical Social Work Practice,160701
Studies In Human Society,Social Work,"Counselling, Welfare and Community Services",160702
Studies In Human Society,Social Work,Social Program Evaluation,160703
Studies In Human Society,Social Work,Social Work not elsewhere classified,160799
Studies In Human Society,Sociology,"Applied Sociology, Program Evaluation and Social Impact Assessment",160801
Studies In Human Society,Sociology,Environmental Sociology,160802
Studies In Human Society,Sociology,Race and Ethnic Relations,160803
Studies In Human Society,Sociology,Rural Sociology,160804
Studies In Human Society,Sociology,Social Change,160805
Studies In Human Society,Sociology,Social Theory,160806
Studies In Human Society,Sociology,Sociological Methodology and Research Methods,160807
Studies In Human Society,Sociology,Sociology and Social Studies of Science and Technology,160808
Studies In Human Society,Sociology,Sociology of Education,160809
Studies In Human Society,Sociology,Urban Sociology and Community Studies,160810
Studies In Human Society,Sociology,Sociology not elsewhere classified,160899
Studies In Human Society,Other Studies In Human Society,Gender Specific Studies,169901
Studies In Human Society,Other Studies In Human Society,Studies of Aboriginal and Torres Strait Islander Society,169902
Studies In Human Society,Other Studies In Human Society,Studies of Asian Society,169903
Studies In Human Society,Other Studies In Human Society,Studies of Māori Society,169904
Studies In Human Society,Other Studies In Human Society,Studies of Pacific Peoples' Societies,169905
Studies In Human Society,Other Studies In Human Society,Studies in Human Society not elsewhere classified,169999
Psychology And Cognitive Sciences,Psychology,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",170101
Psychology And Cognitive Sciences,Psychology,Developmental Psychology and Ageing,170102
Psychology And Cognitive Sciences,Psychology,Educational Psychology,170103
Psychology And Cognitive Sciences,Psychology,Forensic Psychology,170104
Psychology And Cognitive Sciences,Psychology,Gender Psychology,170105
Psychology And Cognitive Sciences,Psychology,"Health, Clinical and Counselling Psychology",170106
Psychology And Cognitive Sciences,Psychology,Industrial and Organisational Psychology,170107
Psychology And Cognitive Sciences,Psychology,Kaupapa Māori Psychology,170108
Psychology And Cognitive Sciences,Psychology,"Personality, Abilities and Assessment",170109
Psychology And Cognitive Sciences,Psychology,"Psychological Methodology, Design and Analysis ",170110
Psychology And Cognitive Sciences,Psychology,Psychology of Religion,170111
Psychology And Cognitive Sciences,Psychology,"Sensory Processes, Perception and Performance",170112
Psychology And Cognitive Sciences,Psychology,Social and Community Psychology,170113
Psychology And Cognitive Sciences,Psychology,Sport and Exercise Psychology,170114
Psychology And Cognitive Sciences,Psychology,Psychology not elsewhere classified,170199
Psychology And Cognitive Sciences,Cognitive Sciences,"Computer Perception, Memory and Attention",170201
Psychology And Cognitive Sciences,Cognitive Sciences,Decision Making,170202
Psychology And Cognitive Sciences,Cognitive Sciences,Knowledge Representation and Machine Learning,170203
Psychology And Cognitive Sciences,Cognitive Sciences,Linguistic Processes (incl. Speech Production and Comprehension),170204
Psychology And Cognitive Sciences,Cognitive Sciences,Neurocognitive Patterns and Neural Networks,170205
Psychology And Cognitive Sciences,Cognitive Sciences,Cognitive Science not elsewhere classified,170299
Psychology And Cognitive Sciences,Other Psychology And Cognitive Sciences,Psychology and Cognitive Sciences not elsewhere classified,179999
Law And Legal Studies,Law,Aboriginal and Torres Strait Islander Law,180101
Law And Legal Studies,Law,Access to Justice,180102
Law And Legal Studies,Law,Administrative Law,180103
Law And Legal Studies,Law,Civil Law and Procedure,180104
Law And Legal Studies,Law,Commercial and Contract Law,180105
Law And Legal Studies,Law,Comparative Law,180106
Law And Legal Studies,Law,Conflict of Laws (Private International Law),180107
Law And Legal Studies,Law,Constitutional Law,180108
Law And Legal Studies,Law,Corporations and Associations Law,180109
Law And Legal Studies,Law,Criminal Law and Procedure,180110
Law And Legal Studies,Law,Environmental and Natural Resources Law,180111
Law And Legal Studies,Law,Equity and Trusts Law,180112
Law And Legal Studies,Law,Family Law,180113
Law And Legal Studies,Law,Human Rights Law,180114
Law And Legal Studies,Law,Intellectual Property Law,180115
Law And Legal Studies,Law,International Law (excl. International Trade Law),180116
Law And Legal Studies,Law,International Trade Law,180117
Law And Legal Studies,Law,Labour Law,180118
Law And Legal Studies,Law,Law and Society,180119
Law And Legal Studies,Law,Legal Institutions (incl. Courts and Justice Systems),180120
Law And Legal Studies,Law,"Legal Practice, Lawyering and the Legal Profession",180121
Law And Legal Studies,Law,"Legal Theory, Jurisprudence and Legal Interpretation",180122
Law And Legal Studies,Law,"Litigation, Adjudication and Dispute Resolution",180123
Law And Legal Studies,Law,Property Law (excl. Intellectual Property Law),180124
Law And Legal Studies,Law,Taxation Law,180125
Law And Legal Studies,Law,Tort Law,180126
Law And Legal Studies,Law,Law not elsewhere classified,180199
Law And Legal Studies,Maori Law,Nga Tikanga Māori (Māori Customary Law),180201
Law And Legal Studies,Maori Law,Te Māori Whakakaere Rauemi (Māori Resource Law),180202
Law And Legal Studies,Maori Law,Te Tiriti O Waitangi (The Treaty of Waitangi),180203
Law And Legal Studies,Maori Law,Te Ture Whenua (Māori Land Law),180204
Law And Legal Studies,Maori Law,Māori Law not elsewhere classified,180299
Law And Legal Studies,Other Law And Legal Studies,Law and Legal Studies not elsewhere classified,189999
Studies In Creative Arts And Writing,Art Theory And Criticism,Art Criticism,190101
Studies In Creative Arts And Writing,Art Theory And Criticism,Art History,190102
Studies In Creative Arts And Writing,Art Theory And Criticism,Art Theory,190103
Studies In Creative Arts And Writing,Art Theory And Criticism,Visual Cultures,190104
Studies In Creative Arts And Writing,Art Theory And Criticism,Art Theory and Criticism not elsewhere classified,190199
Studies In Creative Arts And Writing,"Film, Television And Digital Media",Cinema Studies,190201
Studies In Creative Arts And Writing,"Film, Television And Digital Media",Computer Gaming and Animation,190202
Studies In Creative Arts And Writing,"Film, Television And Digital Media",Electronic Media Art,190203
Studies In Creative Arts And Writing,"Film, Television And Digital Media",Film and Television,190204
Studies In Creative Arts And Writing,"Film, Television And Digital Media",Interactive Media,190205
Studies In Creative Arts And Writing,"Film, Television And Digital Media","Film, Television and Digital Media not elsewhere classified",190299
Studies In Creative Arts And Writing,Journalism And Professional Writing,Journalism Studies,190301
Studies In Creative Arts And Writing,Journalism And Professional Writing,Professional Writing,190302
Studies In Creative Arts And Writing,Journalism And Professional Writing,Technical Writing,190303
Studies In Creative Arts And Writing,Journalism And Professional Writing,Journalism and Professional Writing not elsewhere classified,190399
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Aboriginal and Torres Strait Islander Performing Arts,190401
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Creative Writing (incl. Playwriting),190402
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Dance,190403
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,"Drama, Theatre and Performance Studies",190404
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Māori Performing Arts,190405
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Music Composition,190406
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Music Performance,190407
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Music Therapy,190408
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Musicology and Ethnomusicology,190409
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Pacific Peoples Performing Arts,190410
Studies In Creative Arts And Writing,Performing Arts And Creative Writing,Performing Arts and Creative Writing not elsewhere classified,190499
Studies In Creative Arts And Writing,Visual Arts And Crafts,Crafts,190501
Studies In Creative Arts And Writing,Visual Arts And Crafts,Fine Arts (incl. Sculpture and Painting),190502
Studies In Creative Arts And Writing,Visual Arts And Crafts,Lens-based Practice,190503
Studies In Creative Arts And Writing,Visual Arts And Crafts,Performance and Installation Art,190504
Studies In Creative Arts And Writing,Visual Arts And Crafts,Visual Arts and Crafts not elsewhere classified,190599
Studies In Creative Arts And Writing,Other Studies In Creative Arts And Writing,Studies in the Creative Arts and Writing not elsewhere classified,199999
"Language, Communication And Culture",Communication And Media Studies,Communication Studies,200101
"Language, Communication And Culture",Communication And Media Studies,Communication Technology and Digital Media Studies,200102
"Language, Communication And Culture",Communication And Media Studies,International and Development Communication,200103
"Language, Communication And Culture",Communication And Media Studies,Media Studies,200104
"Language, Communication And Culture",Communication And Media Studies,"Organisational, Interpersonal and Intercultural Communication",200105
"Language, Communication And Culture",Communication And Media Studies,Communication and Media Studies not elsewhere classified,200199
"Language, Communication And Culture",Cultural Studies,Aboriginal and Torres Strait Islander Cultural Studies,200201
"Language, Communication And Culture",Cultural Studies,Asian Cultural Studies,200202
"Language, Communication And Culture",Cultural Studies,Consumption and Everyday Life,200203
"Language, Communication And Culture",Cultural Studies,Cultural Theory,200204
"Language, Communication And Culture",Cultural Studies,"Culture, Gender, Sexuality",200205
"Language, Communication And Culture",Cultural Studies,Globalisation and Culture,200206
"Language, Communication And Culture",Cultural Studies,Māori Cultural Studies,200207
"Language, Communication And Culture",Cultural Studies,Migrant Cultural Studies,200208
"Language, Communication And Culture",Cultural Studies,"Multicultural, Intercultural and Cross-cultural Studies",200209
"Language, Communication And Culture",Cultural Studies,Pacific Cultural Studies,200210
"Language, Communication And Culture",Cultural Studies,Postcolonial Studies,200211
"Language, Communication And Culture",Cultural Studies,Screen and Media Culture,200212
"Language, Communication And Culture",Cultural Studies,Cultural Studies not elsewhere classified,200299
"Language, Communication And Culture",Language Studies,Early English Languages,200301
"Language, Communication And Culture",Language Studies,English Language,200302
"Language, Communication And Culture",Language Studies,English as a Second Language,200303
"Language, Communication And Culture",Language Studies,Central and Eastern European Languages (incl. Russian),200304
"Language, Communication And Culture",Language Studies,Latin and Classical Greek Languages,200305
"Language, Communication And Culture",Language Studies,French Language,200306
"Language, Communication And Culture",Language Studies,German Language,200307
"Language, Communication And Culture",Language Studies,Iberian Languages,200308
"Language, Communication And Culture",Language Studies,Italian Language,200309
"Language, Communication And Culture",Language Studies,Other European Languages,200310
"Language, Communication And Culture",Language Studies,Chinese Languages,200311
"Language, Communication And Culture",Language Studies,Japanese Language,200312
"Language, Communication And Culture",Language Studies,Indonesian Languages,200313
"Language, Communication And Culture",Language Studies,South-East Asian Languages (excl. Indonesian),200314
"Language, Communication And Culture",Language Studies,Indian Languages,200315
"Language, Communication And Culture",Language Studies,Korean Language,200316
"Language, Communication And Culture",Language Studies,Other Asian Languages (excl. South-East Asian),200317
"Language, Communication And Culture",Language Studies,Middle Eastern Languages,200318
"Language, Communication And Culture",Language Studies,Aboriginal and Torres Strait Islander Languages,200319
"Language, Communication And Culture",Language Studies,Pacific Languages,200320
"Language, Communication And Culture",Language Studies,Te Reo Māori (Māori Language),200321
"Language, Communication And Culture",Language Studies,Comparative Language Studies,200322
"Language, Communication And Culture",Language Studies,Translation and Interpretation Studies,200323
"Language, Communication And Culture",Language Studies,Language Studies not elsewhere classified,200399
"Language, Communication And Culture",Linguistics,Applied Linguistics and Educational Linguistics,200401
"Language, Communication And Culture",Linguistics,Computational Linguistics,200402
"Language, Communication And Culture",Linguistics,Discourse and Pragmatics,200403
"Language, Communication And Culture",Linguistics,Laboratory Phonetics and Speech Science,200404
"Language, Communication And Culture",Linguistics,Language in Culture and Society (Sociolinguistics),200405
"Language, Communication And Culture",Linguistics,"Language in Time and Space (incl. Historical Linguistics, Dialectology)",200406
"Language, Communication And Culture",Linguistics,Lexicography,200407
"Language, Communication And Culture",Linguistics,"Linguistic Structures (incl. Grammar, Phonology, Lexicon, Semantics)",200408
"Language, Communication And Culture",Linguistics,Linguistics not elsewhere classified,200499
"Language, Communication And Culture",Literary Studies,Aboriginal and Torres Strait Islander Literature,200501
"Language, Communication And Culture",Literary Studies,Australian Literature (excl. Aboriginal and Torres Strait Islander Literature),200502
"Language, Communication And Culture",Literary Studies,British and Irish Literature,200503
"Language, Communication And Culture",Literary Studies,Māori Literature,200504
"Language, Communication And Culture",Literary Studies,New Zealand Literature (excl. Māori Literature),200505
"Language, Communication And Culture",Literary Studies,North American Literature,200506
"Language, Communication And Culture",Literary Studies,Pacific Literature,200507
"Language, Communication And Culture",Literary Studies,Other Literatures in English,200508
"Language, Communication And Culture",Literary Studies,Central and Eastern European Literature (incl. Russian),200509
"Language, Communication And Culture",Literary Studies,Latin and Classical Greek Literature,200510
"Language, Communication And Culture",Literary Studies,Literature in French,200511
"Language, Communication And Culture",Literary Studies,Literature in German,200512
"Language, Communication And Culture",Literary Studies,Literature in Italian,200513
"Language, Communication And Culture",Literary Studies,Literature in Spanish and Portuguese,200514
"Language, Communication And Culture",Literary Studies,Other European Literature,200515
"Language, Communication And Culture",Literary Studies,Indonesian Literature,200516
"Language, Communication And Culture",Literary Studies,Literature in Chinese,200517
"Language, Communication And Culture",Literary Studies,Literature in Japanese,200518
"Language, Communication And Culture",Literary Studies,South-East Asian Literature (excl. Indonesian),200519
"Language, Communication And Culture",Literary Studies,Indian Literature,200520
"Language, Communication And Culture",Literary Studies,Korean Literature,200521
"Language, Communication And Culture",Literary Studies,Other Asian Literature (excl. South-East Asian),200522
"Language, Communication And Culture",Literary Studies,Middle Eastern Literature,200523
"Language, Communication And Culture",Literary Studies,Comparative Literature Studies,200524
"Language, Communication And Culture",Literary Studies,Literary Theory,200525
"Language, Communication And Culture",Literary Studies,Stylistics and Textual Analysis,200526
"Language, Communication And Culture",Literary Studies,Literary Studies not elsewhere classified,200599
"Language, Communication And Culture","Other Language, Literature And Culture","Language, Communication and Culture not elsewhere classified",209999
History And Archaeology,Archaeology,Aboriginal and Torres Strait Islander Archaeology,210101
History And Archaeology,Archaeology,Archaeological Science,210102
History And Archaeology,Archaeology,"Archaeology of Asia, Africa and the Americas ",210103
History And Archaeology,Archaeology,Archaeology of Australia (excl. Aboriginal and Torres Strait Islander),210104
History And Archaeology,Archaeology,"Archaeology of Europe, the Mediterranean and the Levant",210105
History And Archaeology,Archaeology,Archaeology of New Guinea and Pacific Islands (excl. New Zealand),210106
History And Archaeology,Archaeology,Archaeology of New Zealand (excl. Māori),210107
History And Archaeology,Archaeology,Historical Archaeology (incl. Industrial Archaeology),210108
History And Archaeology,Archaeology,Māori Archaeology,210109
History And Archaeology,Archaeology,Maritime Archaeology,210110
History And Archaeology,Archaeology,Archaeology not elsewhere classified,210199
History And Archaeology,Curatorial And Related Studies,"Archival, Repository and Related Studies",210201
History And Archaeology,Curatorial And Related Studies,Heritage and Cultural Conservation,210202
History And Archaeology,Curatorial And Related Studies,Materials Conservation,210203
History And Archaeology,Curatorial And Related Studies,Museum Studies,210204
History And Archaeology,Curatorial And Related Studies,Curatorial and Related Studies not elsewhere classified,210299
History And Archaeology,Historical Studies,Aboriginal and Torres Strait Islander History,210301
History And Archaeology,Historical Studies,Asian History,210302
History And Archaeology,Historical Studies,Australian History (excl. Aboriginal and Torres Strait Islander History),210303
History And Archaeology,Historical Studies,Biography,210304
History And Archaeology,Historical Studies,British History,210305
History And Archaeology,Historical Studies,Classical Greek and Roman History,210306
History And Archaeology,Historical Studies,"European History (excl. British, Classical Greek and Roman)",210307
History And Archaeology,Historical Studies,Latin American History,210308
History And Archaeology,Historical Studies,Māori History,210309
History And Archaeology,Historical Studies,Middle Eastern and African History,210310
History And Archaeology,Historical Studies,New Zealand History,210311
