Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
Biological Sciences,Evolutionary Biology,Biological Adaptation,060303
Biological Sciences,Evolutionary Biology,Ethology and Sociobiology,060304
Biological Sciences,Evolutionary Biology,Evolution of Developmental Systems,060305
Biological Sciences,Evolutionary Biology,Evolutionary Impacts of Climate Change,060306
Biological Sciences,Evolutionary Biology,Host-Parasite Interactions,060307
Biological Sciences,Evolutionary Biology,Life Histories,060308
Biological Sciences,Evolutionary Biology,Phylogeny and Comparative Analysis,060309
Biological Sciences,Evolutionary Biology,Plant Systematics and Taxonomy,060310
Biological Sciences,Evolutionary Biology,Speciation and Extinction,060311
Biological Sciences,Evolutionary Biology,Evolutionary Biology not elsewhere classified,060399
Biological Sciences,Genetics,Anthropological Genetics,060401
Biological Sciences,Genetics,Cell and Nuclear Division,060402
Biological Sciences,Genetics,Developmental Genetics (incl. Sex Determination),060403
Biological Sciences,Genetics,Epigenetics (incl. Genome Methylation and Epigenomics),060404
Biological Sciences,Genetics,Gene Expression (incl. Microarray and other genome-wide approaches),060405
Biological Sciences,Genetics,Genetic Immunology,060406
Biological Sciences,Genetics,Genome Structure and Regulation,060407
Biological Sciences,Genetics,Genomics,060408
Biological Sciences,Genetics,Molecular Evolution,060409
Biological Sciences,Genetics,Neurogenetics,060410
Biological Sciences,Genetics,"Population, Ecological and Evolutionary Genetics",060411
Biological Sciences,Genetics,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),060412
Biological Sciences,Genetics,Genetics not elsewhere classified,060499
Biological Sciences,Microbiology,Bacteriology,060501
Biological Sciences,Microbiology,Infectious Agents,060502
Biological Sciences,Microbiology,Microbial Genetics,060503
Biological Sciences,Microbiology,Microbial Ecology,060504
Biological Sciences,Microbiology,Mycology,060505
Biological Sciences,Microbiology,Virology,060506
Biological Sciences,Microbiology,Microbiology not elsewhere classified,060599
Biological Sciences,Physiology,Animal Physiology - Biophysics,060601
Biological Sciences,Physiology,Animal Physiology - Cell,060602
