,"Australian Bureau of Statistics Statistics New Zealand",,
"020106","High Energy Astrophysics; Cosmic Rays","240102","Cosmic Ray Physics "
"020106","High Energy Astrophysics; Cosmic Rays","240101p","Astronomy and Astrophysics "
"020107","Mesospheric, Ionospheric and Magnetospheric Physics","260603","Ionospheric and Magnetospheric Physics"
"020107","Mesospheric, Ionospheric and Magnetospheric Physics","240101p","Astronomy and Astrophysics "
"020108","Planetary Science (excl. Extraterrestrial Geology)","240101p","Astronomy and Astrophysics "
"020109","Space and Solar Physics","240101p","Astronomy and Astrophysics "
"020110","Stellar Astronomy and Planetary Systems","240101p","Astronomy and Astrophysics "
"020199","Astronomical and Space Sciences not elsewhere classified ","240199p","Astronomical Sciences not elsewhere classified "
"020199","Astronomical and Space Sciences not elsewhere classified ","240201p","Theoretical Physics"
"020201","Atomic and Molecular Physics ","240301","Atomic and Molecular Physics "
"020202","Nuclear Physics","240302p","Nuclear and Particle Physics "
"020203","Particle Physics","240302p","Nuclear and Particle Physics "
"020204","Plasma Physics; Fusion Plasmas; Electrical Discharges","240303","Plasmas and Electrical Discharges"
"020204","Plasma Physics; Fusion Plasmas; Electrical Discharges","240304p","Other Plasma Physics "
"020299","Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified","240201p","Theoretical Physics"
"020299","Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified","240304p","Other Plasma Physics "
"020301","Acoustics and Acoustical Devices; Waves","240501","Acoustics and Acoustical Devices; Waves"
"020302","Electrostatics and Electrodynamics ","240504","Electrostatics and Electrodynamics "
"020303","Fluid Physics","240502","Fluid Physics"
"020304","Thermodynamics and Statistical Physics ","240503","Thermodynamics and Statistical Physics "
"020399","Classical Physics not elsewhere classified ","240201p","Theoretical Physics"
"020399","Classical Physics not elsewhere classified ","240599p","Classical Physics not elsewhere classified "
"020401","Condensed Matter Characterisation Technique Development","240204p","Condensed Matter Physics - Other "
"020402","Condensed Matter Imaging","240204p","Condensed Matter Physics - Other "
"020403","Condensed Matter Modelling and Density Functional Theory","240204p","Condensed Matter Physics - Other "
"020404","Electronic and Magnetic Properties of Condensed Matter; Superconductivity","240203p","Condensed Matter Physics - Electronic and Magnetic Properties; Superconductivity"
"020405","Soft Condensed Matter","240204p","Condensed Matter Physics - Other "
"020406","Surfaces and Structural Properties of Condensed Matter","240202p","Condensed Matter Physics - Structural Properties "
"020499","Condensed Matter Physics not elsewhere classified","240201p","Theoretical Physics"
"020499","Condensed Matter Physics not elsewhere classified","240204p","Condensed Matter Physics - Other "
"020501","Classical and Physical Optics","240401p","Optics and Opto-electronic Physics "
"020501","Classical and Physical Optics","240499p","Optical Physics not elsewhere classified "
"020502","Lasers and Quantum Electronics","240402p","Quantum Optics and Lasers"
"020502","Lasers and Quantum Electronics","240499p","Optical Physics not elsewhere classified "
"020503","Nonlinear Optics and Spectroscopy","240401p","Optics and Opto-electronic Physics "
"020503","Nonlinear Optics and Spectroscopy","240499p","Optical Physics not elsewhere classified "
"020504","Photonics, Optoelectronics and Optical Communications","240401p","Optics and Opto-electronic Physics "
"020504","Photonics, Optoelectronics and Optical Communications","240499p","Optical Physics not elsewhere classified "
"020599","Optical Physics not elsewhere classified ","240201p","Theoretical Physics"
"020599","Optical Physics not elsewhere classified ","240499p","Optical Physics not elsewhere classified "
"020601","Degenerate Quantum Gases and Atom Optics","240201p","Theoretical Physics"
"020601","Degenerate Quantum Gases and Atom Optics","240499p","Optical Physics not elsewhere classified "
"020601","Degenerate Quantum Gases and Atom Optics","249999p","Physical Sciences not elsewhere classified "
"020602","Field Theory and String Theory","240199p","Astronomical Sciences not elsewhere classified "
"020602","Field Theory and String Theory","240201p","Theoretical Physics"
"020603","Quantum Information, Computation and Communication","240201p","Theoretical Physics"
"020603","Quantum Information, Computation and Communication","240402p","Quantum Optics and Lasers"
"020603","Quantum Information, Computation and Communication","249999p","Physical Sciences not elsewhere classified "
"020604","Quantum Optics","240402p","Quantum Optics and Lasers"
"020699","Quantum Physics not elsewhere classified","240201p","Theoretical Physics"
"020699","Quantum Physics not elsewhere classified","249999p","Physical Sciences not elsewhere classified "
"029901","Biological Physics","249901","Biophysics "
"029902","Complex Physical Systems","249999p","Physical Sciences not elsewhere classified "
"029903","Medical Physics","249902","Medical Physics"
"029904","Synchrotrons; Accelerators; Instruments and Techniques","249903","Instruments and Techniques "
"029999","Physical Sciences not elsewhere classified ","240201p","Theoretical Physics"
"029999","Physical Sciences not elsewhere classified ","249999p","Physical Sciences not elsewhere classified "
"030101","Analytical Spectrometry","250402","Analytical Spectrometry"
"030102","Electroanalytical Chemistry","250403","Electroanalytical Chemistry"
"030103","Flow Analysis","250404","Flow Analysis"
"030104","Immunological and Bioassay Methods ","250406","Immunological and Bioassay Methods "
"030105","Instrumental Methods (excl. Immunological and Bioassay Methods)","250407","Other Instrumental Methods "
"030106","Quality Assurance, Chemometrics, Traceability and Metrological Chemistry","250408","Chemometrics "
"030106","Quality Assurance, Chemometrics, Traceability and Metrological Chemistry","250409","Quality Assurance, Traceability and Metrological Chemistry"
"030107","Sensor Technology (Chemical aspects)","250405p","Sensor (Chemical and Bio-) Technology"
"030108","Separation Science ","250401","Separation Science "
"030199","Analytical Chemistry not elsewhere classified","250499","Analytical Chemistry not elsewhere classified"
"030201","Bioinorganic Chemistry ","250204","Bioinorganic Chemistry "
"030202","f-Block Chemistry","250206","f-Block Chemistry"
"030203","Inorganic Green Chemistry","250299p","Inorganic Chemistry not elsewhere classified "
"030204","Main Group Metal Chemistry ","250202","Main Group Metal Chemistry "
"030205","Non-metal Chemistry","250205","Non-Metal Chemistry"
"030206","Solid State Chemistry","250203","Solid State Chemistry"
"030207","Transition Metal Chemistry ","250201","Transition Metal Chemistry "
"030299","Inorganic Chemistry not elsewhere classified ","250299p","Inorganic Chemistry not elsewhere classified "
"030301","Chemical Characterisation of Materials","250503","Characterisation of Macromolecules "
"030301","Chemical Characterisation of Materials","259999p","Chemical Sciences not elsewhere classified"
"030302","Nanochemistry and Supramolecular Chemistry","259904","Supramolecular Chemistry "
"030302","Nanochemistry and Supramolecular Chemistry","259999p","Chemical Sciences not elsewhere classified"
"030303","Optical Properties of Materials","250599p","Macromolecular Chemistry not elsewhere classified"
"030303","Optical Properties of Materials","259999p","Chemical Sciences not elsewhere classified"
"030304","Physical Chemistry of Materials","250502","Physical Chemistry of Macromolecules "
"030304","Physical Chemistry of Materials","259999p","Chemical Sciences not elsewhere classified"
"030305","Polymerisation Mechanisms","250504","Polymerisation Mechanisms"
"030306","Synthesis of Materials","250501","Synthesis of Macromolecules"
"030306","Synthesis of Materials","259999p","Chemical Sciences not elsewhere classified"
"030307","Theory and Design of Materials","250605","Theory of Materials"
"030307","Theory and Design of Materials","250606","Macromolecular Design"
