,"Australian Bureau of Statistics Statistics New Zealand",,
"100304","Industrial Biotechnology Diagnostics (incl. Biosensors)","270802p","Diagnostic Applications"
"100304","Industrial Biotechnology Diagnostics (incl. Biosensors)","299903p","Biosensor Technologies"
"100305","Industrial Microbiology (incl. Biofeedstocks)","290101p","Fermentation, Biotechnology and Industrial Microbiology"
"100306","Industrial Molecular Engineering of Nucleic Acids and Proteins","270804p","Genetic Technologies: Transformation, Site-directed Mutagenesis, etc."
"100306","Industrial Molecular Engineering of Nucleic Acids and Proteins","270899p","Biotechnology not elsewhere classified "
"100306","Industrial Molecular Engineering of Nucleic Acids and Proteins","290105p","Other Industrial Biotechnology "
"100399","Industrial Biotechnology not elsewhere classified","290105p","Other Industrial Biotechnology "
"100401","Gene and Molecular Therapy ","270801","Gene Therapy "
"100401","Gene and Molecular Therapy ","329902p","Medical Biotechnology"
"100402","Medical Biotechnology Diagnostics (incl. Biosensors)","250405p","Sensor (Chemical and Bio-) Technology"
"100402","Medical Biotechnology Diagnostics (incl. Biosensors)","270802p","Diagnostic Applications"
"100402","Medical Biotechnology Diagnostics (incl. Biosensors)","299903p","Biosensor Technologies"
"100402","Medical Biotechnology Diagnostics (incl. Biosensors)","329902p","Medical Biotechnology"
"100403","Medical Molecular Engineering of Nucleic Acids and Proteins","270804p","Genetic Technologies: Transformation, Site-directed Mutagenesis, etc."
"100403","Medical Molecular Engineering of Nucleic Acids and Proteins","270899p","Biotechnology not elsewhere classified "
"100403","Medical Molecular Engineering of Nucleic Acids and Proteins","329902p","Medical Biotechnology"
"100404","Regenerative Medicine (incl. Stem Cells and Tissue Engineering)","270899p","Biotechnology not elsewhere classified "
"100404","Regenerative Medicine (incl. Stem Cells and Tissue Engineering)","329902p","Medical Biotechnology"
"100499","Medical Biotechnology not elsewhere classified","270899p","Biotechnology not elsewhere classified "
"100499","Medical Biotechnology not elsewhere classified","329902p","Medical Biotechnology"
"100501","Antennas and Propagation","291701","Antenna Technology "
"100501","Antennas and Propagation","291799p","Communications Technologies not elsewhere classified"
"100502","Broadband and Modem Technology","291706","Broadband Network Technology "
"100502","Broadband and Modem Technology","291707","Modem Technology "
"100503","Computer Communications Networks","291704","Computer Communications Networks"
"100504","Data Communications","291703p","Digital Systems"
"100505","Microwave and Millimetrewave Theory and Technology ","291705","Microwave and Millimetrewave Technology"
"100505","Microwave and Millimetrewave Theory and Technology ","291799p","Communications Technologies not elsewhere classified"
"100506","Optical Fibre Communications ","291702p","Optical and Photonic Systems "
"100507","Optical Networks and Systems","291702p","Optical and Photonic Systems "
"100508","Satellite Communications ","291709","Satellite Communications "
"100509","Video Communications","291703p","Digital Systems"
"100510","Wireless Communications","291703p","Digital Systems"
"100599","Communications Technologies not elsewhere classified","291708","Baseband Technology"
"100599","Communications Technologies not elsewhere classified","291710","Radio Communications and Broadcasting not elsewhere classified"
"100599","Communications Technologies not elsewhere classified","291799p","Communications Technologies not elsewhere classified"
"100601","Arithmetic and Logic Structures","291601","Arithmetic and Logic Structures"
"100602","Input, Output and Data Devices","291603","Input, Output and Data Devices "
"100603","Logic Design","291604","Logic Design"
"100604","Memory Structures","291602","Memory Structures"
"100605","Performance Evaluation; Testing and Simulation of Reliability","291699p","Computer Hardware not elsewhere classified"
"100606","Processor Architectures","291605","Processor Architectures"
"100699","Computer Hardware not elsewhere classified","291699p","Computer Hardware not elsewhere classified"
"100701","Environmental Nanotechnology","291804p","Nanotechnology"
"100702","Molecular and Organic Electronics","291804p","Nanotechnology"
"100703","Nanobiotechnology","291804p","Nanotechnology"
"100704","Nanoelectromechanical Systems","291804p","Nanotechnology"
"100705","Nanoelectronics","291804p","Nanotechnology"
"100706","Nanofabrication, Growth and Self Assembly","291804p","Nanotechnology"
"100707","Nanomanufacturing","291804p","Nanotechnology"
"100708","Nanomaterials","291804p","Nanotechnology"
"100709","Nanomedicine","291804p","Nanotechnology"
"100710","Nanometrology","291804p","Nanotechnology"
"100711","Nanophotonics","291804p","Nanotechnology"
"100712","Nanoscale Characterisation","291804p","Nanotechnology"
"100713","Nanotoxicology, Health and Safety","291804p","Nanotechnology"
"100799","Nanotechnology not elsewhere classified","291804p","Nanotechnology"
"109999","Technology not elsewhere classified","299904p","Engineering/Technology Instrumentation "
"109999","Technology not elsewhere classified","299999p","Engineering and Technology not elsewhere classified"
"110101","Medical Biochemistry: Amino Acids and Metabolites","320307p","Medical Biochemistry: Other"
"110102","Medical Biochemistry: Carbohydrates","320302","Medical Biochemistry: Carbohydrates"
"110103","Medical Biochemistry: Inorganic Elements and Compounds","320307p","Medical Biochemistry: Other"
"110104","Medical Biochemistry: Lipids ","320303","Medical Biochemistry: Lipids "
"110104","Medical Biochemistry: Lipids ","320306","Medical Biochemistry: Phospholipids"
"110105","Medical Biochemistry: Nucleic Acids","320304","Medical Biochemistry: Nucleic Acids"
"110106","Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics)","320305","Medical Biochemistry: Proteins and Peptides"
"110107","Metabolic Medicine","320307p","Medical Biochemistry: Other"
"110199","Medical Biochemistry and Metabolomics not elsewhere classified","320307p","Medical Biochemistry: Other"
"110201","Cardiology (incl. Cardiovascular Diseases)","321003","Cardiology (incl. Cardiovascular Diseases)"
"110202","Haematology","321008","Haematology"
"110203","Respiratory Diseases ","321027","Respiratory Diseases "
"110299","Cardiorespiratory Medicine and Haematology not elsewhere classified","321099p","Clinical Sciences not elsewhere classified"
"110301","Anaesthesiology","321001","Anaesthesiology"
"110302","Clinical Chemistry (diagnostics)","320301","Clinical Chemistry "
"110303","Clinical Microbiology","320499p","Medical Microbiology not elsewhere classified"
"110303","Clinical Microbiology","321099p","Clinical Sciences not elsewhere classified"
"110304","Dermatology","321002","Dermatology"
"110305","Emergency Medicine","321099p","Clinical Sciences not elsewhere classified"
"110306","Endocrinology","321004","Endocrinology"
"110307","Gastroenterology and Hepatology","321006","Gastroenterology and Hepatology"
"110308","Geriatrics and Gerontology ","321007","Geriatrics and Gerontology "
"110309","Infectious Diseases","321010","Infectious Diseases"
"110310","Intensive Care ","321009","Intensive Care "
"110311","Medical Genetics (excl. Cancer Genetics)","321011p","Medical Genetics "
"110312","Nephrology and Urology ","321012","Nephrology and Urology "
"110313","Nuclear Medicine","321023p","Radiotherapy and Nuclear Medicine"
"110314","Orthopaedics ","321017","Orthopaedics "
"110315","Otorhinolaryngology","321018","Otorhinolaryngology"
"110316","Pathology (excl. Oral Pathology)","321020p","Pathology"
"110317","Physiotherapy","321024p","Rehabilitation and Therapy: Occupational and Physical"
"110317","Physiotherapy","321099p","Clinical Sciences not elsewhere classified"
"110318","Podiatry","329901","Podiatry "
"110319","Psychiatry (incl. Psychotherapy) ","321021","Psychiatry "
"110319","Psychiatry (incl. Psychotherapy) ","321099p","Clinical Sciences not elsewhere classified"
"110320","Radiology and Organ Imaging","321022","Radiology and Organ Imaging"
"110321","Rehabilitation and Therapy (excl. Physiotherapy)","321025","Rehabilitation and Therapy: Hearing and Speech"
"110321","Rehabilitation and Therapy (excl. Physiotherapy)","321024p","Rehabilitation and Therapy: Occupational and Physical"
"110322","Rheumatology and Arthritis ","321028","Rheumatology and Arthritis "
"110323","Surgery","321029","Surgery"
"110324","Venereology","321030","Venereology"
"110399","Clinical Sciences not elsewhere classified","321099p","Clinical Sciences not elsewhere classified"
"110401","Chiropractic ","321302","Chiropractic "
"110402","Naturopathy","321303","Naturopathy"
"110403","Traditional Aboriginal and Torres Strait Islander Medicine and Treatments","321399p","Complementary/Alternative Medicine not elsewhere classified"
"110404","Traditional Chinese Medicine and Treatments ","321301","Oriental Medicine and Treatments "
"110405","Traditional Māori Medicine and Treatments","321399p","Complementary/Alternative Medicine not elsewhere classified"
"110499","Complementary and Alternative Medicine not elsewhere classified","321399p","Complementary/Alternative Medicine not elsewhere classified"
"110501","Dental Materials and Equipment","320803","Dental Technology"
"110501","Dental Materials and Equipment","320899p","Dentistry not elsewhere classified "
"110502","Dental Therapeutics, Pharmacology and Toxicology ","320502p","Basic Pharmacology "
"110502","Dental Therapeutics, Pharmacology and Toxicology ","320503p","Clinical Pharmacology and Therapeutics"
"110502","Dental Therapeutics, Pharmacology and Toxicology ","320504p","Toxicology (incl. Clinical Toxicology) "
"110502","Dental Therapeutics, Pharmacology and Toxicology ","320899p","Dentistry not elsewhere classified "
"110503","Endodontics","320899p","Dentistry not elsewhere classified "
"110504","Oral and Maxillofacial Surgery ","320801","Oral Surgery "
"110504","Oral and Maxillofacial Surgery ","320899p","Dentistry not elsewhere classified "
"110505","Oral Medicine and Pathology","320899p","Dentistry not elsewhere classified "
"110505","Oral Medicine and Pathology","321020p","Pathology"
"110506","Orthodontics and Dentofacial Orthopaedics","320899p","Dentistry not elsewhere classified "
"110507","Paedodontics","320899p","Dentistry not elsewhere classified "
"110508","Periodontics","320899p","Dentistry not elsewhere classified "
"110509","Special Needs Dentistry","320899p","Dentistry not elsewhere classified "
"110599","Dentistry not elsewhere classified ","320802","Dentistry Support"
"110599","Dentistry not elsewhere classified ","320804","Dental Therapy "
"110599","Dentistry not elsewhere classified ","320899p","Dentistry not elsewhere classified "
"110601","Biomechanics ","321402","Biomechanics "
"110602","Exercise Physiology","321401","Exercise Physiology"
"110603","Motor Control","321403","Motor Control"
"110604","Sports Medicine","321405","Sports Medicine"
"110699","Human Movement and Sports Science not elsewhere classified","321499","Human Movement and Sports Science not elsewhere classified"
"110701","Allergy","320201","Allergy"
"110702","Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies)","320299p","Immunology not elsewhere classified"
"110703","Autoimmunity ","320207","Autoimmunity "
"110704","Cellular Immunology","320202","Cellular Immunology"
"110705","Humoural Immunology and Immunochemistry","320203","Humoral Immunology and Immunochemistry"
"110706","Immunogenetics (incl. Genetic Immunology)","320204","Immunogenetics "
"110707","Innate Immunity","320299p","Immunology not elsewhere classified"
"110708","Transplantation Immunology ","320205","Transplantation Immunology "
"110709","Tumour Immunology ","320206","Tumor Immunology "
"110799","Immunology not elsewhere classified","320299p","Immunology not elsewhere classified"
"110801","Medical Bacteriology ","320401","Medical Bacteriology "
"110802","Medical Infection Agents (incl. Prions)","320403","Medical Infection Agents (incl. Prions)"
"110803","Medical Parasitology ","320405","Medical Parasitology "
"110804","Medical Virology ","320402","Medical Virology "
"110899","Medical Microbiology not elsewhere classified","320404","Medical Mycology "
"110899","Medical Microbiology not elsewhere classified","320499p","Medical Microbiology not elsewhere classified"
"110901","Autonomic Nervous System ","320701","Autonomic Nervous System "
"110902","Cellular Nervous System","320704","Cellular Nervous System"
"110903","Central Nervous System ","320702","Central Nervous System "
"110904","Neurology and Neuromuscular Diseases","321013","Neurology and Neuromuscular Diseases"
"110905","Peripheral Nervous System","320703","Peripheral Nervous System"
"110906","Sensory Systems","320705","Sensory Systems"
"110999","Neurosciences not elsewhere classified","320799","Neurosciences not elsewhere classified"
"111001","Aged Care Nursing","321106","Aged Care Nursing"
"111002","Clinical Nursing: Primary (Preventative) ","321102","Clinical Nursing: Primary (Preventative) "
"111003","Clinical Nursing: Secondary (Acute Care)","321103","Clinical Nursing: Secondary (Acute Care)"
"111004","Clinical Nursing: Tertiary (Rehabilitative)","321104","Clinical Nursing: Tertiary (Rehabilitative)"
"111005","Mental Health Nursing","321105","Mental Health Nursing"
"111006","Midwifery","321101","Midwifery"
"111099","Nursing not elsewhere classified ","321199","Nursing not elsewhere classified "
"111101","Clinical and Sports Nutrition","321205p","Nutrition and Dietetics"
"111102","Dietetics and Nutrigenomics","321205p","Nutrition and Dietetics"
"111103","Nutritional Physiology","321205p","Nutrition and Dietetics"
"111104","Public Nutrition Intervention","321205p","Nutrition and Dietetics"
"111199","Nutrition and Dietetics not elsewhere classified","321205p","Nutrition and Dietetics"
"111201","Cancer Cell Biology","321015p","Oncology and Carcinogenesis"
"111202","Cancer Diagnosis","321015p","Oncology and Carcinogenesis"
"111203","Cancer Genetics","321011p","Medical Genetics "
"111203","Cancer Genetics","321015p","Oncology and Carcinogenesis"
"111204","Cancer Therapy (excl. Chemotherapy and Radiation Therapy)","321015p","Oncology and Carcinogenesis"
"111205","Chemotherapy","321015p","Oncology and Carcinogenesis"
"111206","Haematological Tumours","321015p","Oncology and Carcinogenesis"
"111207","Molecular Targets","321015p","Oncology and Carcinogenesis"
"111208","Radiation Therapy","321023p","Radiotherapy and Nuclear Medicine"
"111209","Solid Tumours","321015p","Oncology and Carcinogenesis"
"111299","Oncology and Carcinogenesis not elsewhere classified","321015p","Oncology and Carcinogenesis"
"111301","Ophthalmology","321016p","Opthalmology and Vision Science"
"111302","Optical Technology ","320901","Optical Technology "
"111303","Vision Science","321016p","Opthalmology and Vision Science"
"111399","Ophthalmology and Optometry not elsewhere classified","320999","Optometry not elsewhere classified"
"111399","Ophthalmology and Optometry not elsewhere classified","321099p","Clinical Sciences not elsewhere classified"
"111401","Foetal Development and Medicine","321005","Foetal Development and Medicine"
"111402","Obstetrics and Gynaecology ","321014","Obstetrics and Gynaecology "
"111403","Paediatrics","321019","Paediatrics"
"111404","Reproduction ","321026","Reproduction "
"111499","Paediatrics and Reproductive Medicine not elsewhere classified","321099p","Clinical Sciences not elsewhere classified"
"111501","Basic Pharmacology ","320502p","Basic Pharmacology "
"111502","Clinical Pharmacology and Therapeutics","320503p","Clinical Pharmacology and Therapeutics"
"111503","Clinical Pharmacy and Pharmacy Practice","320501p","Pharmaceutical Sciences and Pharmacy"
"111504","Pharmaceutical Sciences","320501p","Pharmaceutical Sciences and Pharmacy"
"111505","Pharmacogenomics","320599p","Pharmacology not elsewhere classified"
"111506","Toxicology (incl. Clinical Toxicology) ","320504p","Toxicology (incl. Clinical Toxicology) "
"111599","Pharmacology and Pharmaceutical Sciences not elsewhere classified","320599p","Pharmacology not elsewhere classified"
"111601","Cell Physiology","320602","Cell Physiology"
"111602","Human Biophysics ","320601","Human Biophysics "
"111603","Systems Physiology ","320603","Systems Physiology "
"111699","Medical Physiology not elsewhere classified","320699","Medical Physiology not elsewhere classified"
"111701","Aboriginal and Torres Strait Islander Health","321207p","Indigenous Health"
"111702","Aged Health Care","321299p","Public Health and Health Services not elsewhere classified"
"111703","Care for Disabled","321212","Care for Disabled"
"111704","Community Child Health ","321210","Community Child Health "
"111705","Environmental and Occupational Health and Safety","321201","Environmental and Occupational Health and Safety"
"111706","Epidemiology ","321202","Epidemiology "
"111707","Family Care","321209","Family Care"
"111708","Health and Community Services","321214","Health and Community Services"
"111709","Health Care Administration ","321215","Health Care Administration "
"111710","Health Counselling ","321217","Health Counselling "
"111711","Health Information Systems (incl. Surveillance)","321203","Health Information Systems (incl. Surveillance)"
"111712","Health Promotion ","321216","Health Promotion "
"111713","Māori Health","321207p","Indigenous Health"
"111714","Mental Health","321204","Mental Health"
"111715","Pacific Peoples Health","321207p","Indigenous Health"
"111716","Preventive Medicine","321206","Preventive Medicine"
"111717","Primary Health Care","321208","Primary Health Care"
"111718","Residential Client Care","321211","Residential Client Care"
"111799","Public Health and Health Services not elsewhere classified","321299p","Public Health and Health Services not elsewhere classified"
"119999","Medical and Health Sciences not elsewhere classified","329903","Therapies and Therapeutic Technology"
"119999","Medical and Health Sciences not elsewhere classified","329999","Medical and Health Sciences not elsewhere classified"
"120101","Architectural Design","310101p","Architecture "
"120102","Architectural Heritage and Conservation","310102","Heritage and Conservation"
"120103","Architectural History and Theory","310105p","History of the Built Environment "
"120103","Architectural History and Theory","310199p","Architecture and Urban Environment not elsewhere classified"
"120104","Architectural Science and Technology (incl. Acoustics, Lighting, Structure and Ecologically Sustainable Design)","310101p","Architecture "
"120104","Architectural Science and Technology (incl. Acoustics, Lighting, Structure and Ecologically Sustainable Design)","310199p","Architecture and Urban Environment not elsewhere classified"
"120105","Architecture Management","310101p","Architecture "
"120105","Architecture Management","310199p","Architecture and Urban Environment not elsewhere classified"
"120106","Interior Design","310106","Interior and Environmental Design"
"120107","Landscape Architecture","310104","Landscape Planning "
"120199","Architecture not elsewhere classified","310101p","Architecture "
"120199","Architecture not elsewhere classified","310199p","Architecture and Urban Environment not elsewhere classified"
"120201","Building Construction Management and Project Planning","310202","Building Construction Management "
"120202","Building Science and Techniques","310201","Building Science and Techniques"
"120203","Quantity Surveying","310203p","Building Construction Economics (incl. Quantity Surveying)"
"120299","Building not elsewhere classified","310299","Building not elsewhere classified"
"120299","Building not elsewhere classified","310203p","Building Construction Economics (incl. Quantity Surveying)"
"120301","Design History and Theory","410401","Design Theory"
"120301","Design History and Theory","410405","Design History and Cultural Theory"
"120302","Design Innovation","410402","Design Innovation"
"120303","Design Management and Studio and Professional Practice","410403","Design Studio Practice"
"120303","Design Management and Studio and Professional Practice","410404","Design Management and Professional Practice"
"120304","Digital and Interaction Design","410499p","Design Studies not elsewhere classified"
"120305","Industrial Design","410499p","Design Studies not elsewhere classified"
"120306","Textile and Fashion Design","410499p","Design Studies not elsewhere classified"
"120307","Visual Communication Design (incl. Graphic Design)","410499p","Design Studies not elsewhere classified"
"120399","Design Practice and Management not elsewhere classified","410499p","Design Studies not elsewhere classified"
"120401","Engineering Design Empirical Studies","299999p","Engineering and Technology not elsewhere classified"
"120401","Engineering Design Empirical Studies","410499p","Design Studies not elsewhere classified"
"120402","Engineering Design Knowledge","299999p","Engineering and Technology not elsewhere classified"
"120402","Engineering Design Knowledge","410499p","Design Studies not elsewhere classified"
"120403","Engineering Design Methods","299999p","Engineering and Technology not elsewhere classified"
"120403","Engineering Design Methods","410499p","Design Studies not elsewhere classified"
"120404","Engineering Systems Design","299999p","Engineering and Technology not elsewhere classified"
"120404","Engineering Systems Design","410499p","Design Studies not elsewhere classified"
"120405","Models of Engineering Design","299999p","Engineering and Technology not elsewhere classified"
"120405","Models of Engineering Design","410499p","Design Studies not elsewhere classified"
"120499","Engineering Design not elsewhere classified","299999p","Engineering and Technology not elsewhere classified"
"120499","Engineering Design not elsewhere classified","410499p","Design Studies not elsewhere classified"
"120501","Community Planning","310103p","Urban and Regional Planning"
"120502","History and Theory of the Built Environment (excl. Architecture)","310105p","History of the Built Environment "
"120502","History and Theory of the Built Environment (excl. Architecture)","310199p","Architecture and Urban Environment not elsewhere classified"
"120503","Housing Markets, Development, Management","310103p","Urban and Regional Planning"
"120504","Land Use and Environmental Planning","310103p","Urban and Regional Planning"
"120505","Regional Analysis and Development","310103p","Urban and Regional Planning"
"120506","Transport Planning","310103p","Urban and Regional Planning"
"120507","Urban Analysis and Development","310103p","Urban and Regional Planning"
"120508","Urban Design","310103p","Urban and Regional Planning"
"120599","Urban and Regional Planning not elsewhere classified","310103p","Urban and Regional Planning"
"120599","Urban and Regional Planning not elsewhere classified","310199p","Architecture and Urban Environment not elsewhere classified"
"129999","Built Environment and Design not elsewhere classified","319999","Other Architecture, Urban Environment and Building"
"129999","Built Environment and Design not elsewhere classified","299999p","Engineering and Technology not elsewhere classified"
"129999","Built Environment and Design not elsewhere classified","419999p","The Arts not elsewhere classified"
"130101","Continuing and Community Education","330304p","Teacher Education: Vocational Education and Training "
"130101","Continuing and Community Education","339999p","Other Education"
"130102","Early Childhood Education (excl. Māori)","330301p","Teacher Education: Early Childhood "
"130102","Early Childhood Education (excl. Māori)","339999p","Other Education"
"130103","Higher Education","330305p","Teacher Education: Higher Education"
"130103","Higher Education","339999p","Other Education"
"130104","Kura Kaupapa Māori (Māori Primary Education) ","330302p","Teacher Education: Primary "
"130104","Kura Kaupapa Māori (Māori Primary Education) ","339999p","Other Education"
"130105","Primary Education (excl. Māori)","330302p","Teacher Education: Primary "
"130105","Primary Education (excl. Māori)","339999p","Other Education"
"130106","Secondary Education","330303p","Teacher Education: Secondary "
"130106","Secondary Education","339999p","Other Education"
"130107","Te Whāriki (Māori Early Childhood Education)","330301p","Teacher Education: Early Childhood "
"130107","Te Whāriki (Māori Early Childhood Education)","339999p","Other Education"
"130108","Technical, Further and Workplace Education","330304p","Teacher Education: Vocational Education and Training "
"130108","Technical, Further and Workplace Education","339999p","Other Education"
"130199","Education Systems not elsewhere classified","330399p","Professional Development of Teachers not elsewhere classified"
"130199","Education Systems not elsewhere classified","339999p","Other Education"
"130201","Creative Arts, Media and Communication Curriculum and Pedagogy","330205p","Curriculum Studies: Other Social Sciences, Humanities and Arts Education "
"130201","Creative Arts, Media and Communication Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130202","Curriculum and Pedagogy Theory and Development","330206","Curriculum Theory and Development"
"130202","Curriculum and Pedagogy Theory and Development","330299p","Curriculum Studies not elsewhere classified"
"130203","Economics, Business and Management Curriculum and Pedagogy","330204p","Curriculum Studies: Economics, Commerce, Management and Services Education"
"130203","Economics, Business and Management Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130204","English and Literacy Curriculum and Pedagogy (excl. LOTE, ESL and TESOL)","330201p","Curriculum Studies: English Education"
"130204","English and Literacy Curriculum and Pedagogy (excl. LOTE, ESL and TESOL)","330299p","Curriculum Studies not elsewhere classified"
"130205","Humanities and Social Sciences Curriculum and Pedagogy (excl. Economics, Business and Management)","330205p","Curriculum Studies: Other Social Sciences, Humanities and Arts Education "
"130205","Humanities and Social Sciences Curriculum and Pedagogy (excl. Economics, Business and Management)","330299p","Curriculum Studies not elsewhere classified"
"130205","Humanities and Social Sciences Curriculum and Pedagogy (excl. Economics, Business and Management)","390203p","Legal Education"
"130206","Kōhanga Reo (Māori Language Curriculum and Pedagogy)","330299p","Curriculum Studies not elsewhere classified"
"130207","LOTE, ESL and TESOL Curriculum and Pedagogy (excl. Māori)","330201p","Curriculum Studies: English Education"
"130207","LOTE, ESL and TESOL Curriculum and Pedagogy (excl. Māori)","330299p","Curriculum Studies not elsewhere classified"
"130208","Mathematics and Numeracy Curriculum and Pedagogy","330202","Curriculum Studies: Mathematics Education"
"130208","Mathematics and Numeracy Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130209","Medicine, Nursing and Health Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130209","Medicine, Nursing and Health Curriculum and Pedagogy","330307p","Teacher Education: Nursing and Health"
"130210","Physical Education and Development Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130211","Religion Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130212","Science, Technology and Engineering Curriculum and Pedagogy","330203","Curriculum Studies: Science Education"
"130212","Science, Technology and Engineering Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130213","Vocational Education and Training Curriculum and Pedagogy","330204p","Curriculum Studies: Economics, Commerce, Management and Services Education"
"130213","Vocational Education and Training Curriculum and Pedagogy","330299p","Curriculum Studies not elsewhere classified"
"130299","Curriculum and Pedagogy not elsewhere classified","330299p","Curriculum Studies not elsewhere classified"
"130301","Aboriginal and Torres Strait Islander Education","330199p","Education Studies not elsewhere classified "
"130302","Comparative and Cross-Cultural Education","330106","Comparative Education"
"130302","Comparative and Cross-Cultural Education","330199p","Education Studies not elsewhere classified "
"130303","Education Assessment and Evaluation","330109","Assessment and Evaluation"
"130304","Educational Administration, Management and Leadership","330104p","Educational Policy, Administration and Management"
"130304","Educational Administration, Management and Leadership","330199p","Education Studies not elsewhere classified "
"130305","Educational Counselling","330105","Educational Counselling"
"130306","Educational Technology and Computing","330107","Educational Technology and Media "
"130307","Ethnic Education (excl. Aboriginal and Torres Strait Islander, Māori and Pacific Peoples)","330199p","Education Studies not elsewhere classified "
"130308","Gender, Sexuality and Education","330199p","Education Studies not elsewhere classified "
"130309","Learning Sciences","330101","Educational Psychology "
"130310","Māori Education (excl. Early Childhood and Primary Education)","330199p","Education Studies not elsewhere classified "
"130311","Pacific Peoples Education","330199p","Education Studies not elsewhere classified "
"130312","Special Education and Disability","330108","Special Education"
"130312","Special Education and Disability","330306p","Teacher Education: Special Education "
"130313","Teacher Education and Professional Development of Educators","330199p","Education Studies not elsewhere classified "
"130313","Teacher Education and Professional Development of Educators","330301p","Teacher Education: Early Childhood "
"130313","Teacher Education and Professional Development of Educators","330302p","Teacher Education: Primary "
"130313","Teacher Education and Professional Development of Educators","330303p","Teacher Education: Secondary "
"130313","Teacher Education and Professional Development of Educators","330304p","Teacher Education: Vocational Education and Training "
"130313","Teacher Education and Professional Development of Educators","330305p","Teacher Education: Higher Education"
"130313","Teacher Education and Professional Development of Educators","330306p","Teacher Education: Special Education "
"130313","Teacher Education and Professional Development of Educators","330307p","Teacher Education: Nursing and Health"
"130313","Teacher Education and Professional Development of Educators","330399p","Professional Development of Teachers not elsewhere classified"
"130399","Specialist Studies in Education not elsewhere classified","330199p","Education Studies not elsewhere classified "
"139999","Education not elsewhere classified","339999p","Other Education"
"140101","History of Economic Thought","340302","History of Economic Thought"
"140102","Macroeconomic Theory ","340102","Macroeconomic Theory "
"140103","Mathematical Economics ","340103","Mathematical Economics "
"140104","Microeconomic Theory ","340101","Microeconomic Theory "
"140199","Economic Theory not elsewhere classified ","340199","Economic Theory not elsewhere classified "
"140201","Agricultural Economics ","340201","Agricultural Economics "
"140202","Economic Development and Growth","340213","Economic Development and Growth"
"140203","Economic History","340301","Economic History "
"140204","Economics of Education ","340299p","Applied Economics not elsewhere classified "
"140205","Environment and Resource Economics ","340202","Environment and Resource Economics "
"140206","Experimental Economics","340299p","Applied Economics not elsewhere classified "
"140207","Financial Economics","340203","Finance Economics"
"140208","Health Economics ","340204","Health Economics "
"140209","Industry Economics and Industrial Organisation ","340205","Industry Economics and Industrial Organisation "
"140210","International Economics and International Finance","340206","International Economics and International Finance"
"140211","Labour Economics ","340207","Labour Economics "
"140212","Macroeconomics (incl. Monetary and Fiscal Theory)","340208","Macroeconomics (incl. Monetary and Fiscal Theory)"
"140213","Public Economics- Public Choice","340209p","Public Sector Economics"
"140213","Public Economics- Public Choice","349901p","Political Economy"
"140214","Public Economics- Publically Provided Goods","340209p","Public Sector Economics"
"140215","Public Economics- Taxation and Revenue","340209p","Public Sector Economics"
"140216","Tourism Economics","350505","Tourism Economics"
"140217","Transport Economics","340211","Transport Economics"
"140218","Urban and Regional Economics ","340214","Urban and Regional Economics "
"140219","Welfare Economics","340210","Welfare Economics"
"140299","Applied Economics not elsewhere classified ","340299p","Applied Economics not elsewhere classified "
"140301","Cross-Sectional Analysis ","340404","Cross-Sectional Analysis "
"140302","Econometric and Statistical Methods","340402","Econometric and Statistical Methods"
"140303","Economic Models and Forecasting","340401","Economic Models and Forecasting"
"140304","Panel Data Analysis","340405","Panel Data Analysis"
"140305","Time-Series Analysis ","340403","Time-Series Analysis "
"140399","Econometrics not elsewhere classified","340499","Econometrics not elsewhere classified"
"149901","Comparative Economic Systems ","349902","Comparative Economic Systems "
"149902","Ecological Economics","349999p","Economics not elsewhere classified "
"149903","Heterodox Economics","349901p","Political Economy"
"149999","Economics not elsewhere classified ","349999p","Economics not elsewhere classified "
"150101","Accounting Theory and Standards","350107p","Other Accounting "
"150102","Auditing and Accountability","350103","Auditing and Accountability"
"150103","Financial Accounting ","350101","Financial Accounting "
"150104","International Accounting ","350106","International Accounting "
"150105","Management Accounting","350102","Management Accounting"
"150106","Sustainability Accounting and Reporting","350107p","Other Accounting "
"150107","Taxation Accounting ","350104","Taxation "
"150199","Accounting, Auditing and Accountability not elsewhere classified","350105","Bookkeeping"
"150199","Accounting, Auditing and Accountability not elsewhere classified","350107p","Other Accounting "
"150201","Finance","350301","Finance"
"150202","Financial Econometrics ","350302","Financial Econometrics "
"150203","Financial Institutions (incl. Banking) ","350303","Financial Institutions (incl. Banking) "
"150204","Insurance Studies","350304","Insurance Studies"
"150205","Investment and Risk Management","350399p","Banking, Finance and Investment not elsewhere classified"
"150299","Banking, Finance and Investment not elsewhere classified","350399p","Banking, Finance and Investment not elsewhere classified"
