,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"830205","Wild Caught Rock Lobster","630301p","Fisheries - Commercial"
"830206","Wild Caught Prawns","630301p","Fisheries - Commercial"
"830207","Wild Caught Tuna","630301p","Fisheries - Commercial"
"830299","Fisheries - Wild Caught not elsewhere classified","630301p","Fisheries - Commercial"
"830299","Fisheries - Wild Caught not elsewhere classified","630399p","Fish not elsewhere classified"
"830301","Beef Cattle",630103,"Beef Cattle"
"830302","Dairy Cattle",630104,"Dairy Cattle"
"830303","Deer","630107p","Minor Livestock (e.g. Horses, Goats, Deer)"
"830304","Goats","630107p","Minor Livestock (e.g. Horses, Goats, Deer)"
"830305","Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)","630107p","Minor Livestock (e.g. Horses, Goats, Deer)"
"830305","Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)","630199p","Livestock not elsewhere classified"
"830306","Horses","630107p","Minor Livestock (e.g. Horses, Goats, Deer)"
"830307","Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)","630107p","Minor Livestock (e.g. Horses, Goats, Deer)"
"830308","Pigs",630105,"Pigs"
"830309","Poultry",630106,"Poultry"
"830310","Sheep - Meat",630101,"Sheep - Meat"
"830311","Sheep - Wool",630102,"Sheep - Wool"
"830399","Livestock Raising not elsewhere classified","630199p","Livestock not elsewhere classified"
"830401","Browse Crops",630203,"Browse Crops"
"830402","Lucerne","630201p","Sown Legumes"
"830403","Native and Residual Pastures","630205p","Native Vegetation"
"830404","Non-Cereal Crops for Hay","630204p","Fodder Crops"
"830405","Non-Cereal Crops for Silage/Green Feed","630204p","Fodder Crops"
"830406","Sown Pastures (excl. Lucerne)",630202,"Sown Grasses"
"830499","Pasture, Browse and Fodder Crops not elsewhere classified","630201p","Sown Legumes"
"830499","Pasture, Browse and Fodder Crops not elsewhere classified","630205p","Native Vegetation"
"830499","Pasture, Browse and Fodder Crops not elsewhere classified","630299p","Other"
"830501","Eggs","630499p","Primary Animal Products not elsewhere classified"
"830502","Honey","630499p","Primary Animal Products not elsewhere classified"
"830503","Live Animals","630499p","Primary Animal Products not elsewhere classified"
"830504","Pearls","630499p","Primary Animal Products not elsewhere classified"
"830505","Raw Wool",630403,"Raw Wool"
"830506","Unprocessed or Minimally Processed Fish",630401,"Minimally Processed Fish"
"830506","Unprocessed or Minimally Processed Fish","630499p","Primary Animal Products not elsewhere classified"
"830507","Unprocessed or Minimally Processed Milk",630402,"Minimally Processed Milk"
"830507","Unprocessed or Minimally Processed Milk","630499p","Primary Animal Products not elsewhere classified"
"830599","Primary Animal Products not elsewhere classified",630404,"Hides and skins"
"830599","Primary Animal Products not elsewhere classified","630499p","Primary Animal Products not elsewhere classified"
"839801","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)","630501p","Livestock"
"839801","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)","630502p","Pasture, Browse and Fodder Crops"
"839801","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)","630503p","Fish"
"839801","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)","630504p","Primary Products from Animals"
"839802","Management of Greenhouse Gas Emissions from Animal Production","630501p","Livestock"
"839802","Management of Greenhouse Gas Emissions from Animal Production","630502p","Pasture, Browse and Fodder Crops"
"839802","Management of Greenhouse Gas Emissions from Animal Production","630503p","Fish"
"839802","Management of Greenhouse Gas Emissions from Animal Production","630504p","Primary Products from Animals"
"839803","Management of Liquid Waste from Animal Production (excl. Water)","630501p","Livestock"
"839803","Management of Liquid Waste from Animal Production (excl. Water)","630502p","Pasture, Browse and Fodder Crops"
"839803","Management of Liquid Waste from Animal Production (excl. Water)","630503p","Fish"
"839803","Management of Liquid Waste from Animal Production (excl. Water)","630504p","Primary Products from Animals"
"839804","Management of Solid Waste from Animal Production","630501p","Livestock"
"839804","Management of Solid Waste from Animal Production","630502p","Pasture, Browse and Fodder Crops"
"839804","Management of Solid Waste from Animal Production","630503p","Fish"
"839804","Management of Solid Waste from Animal Production","630504p","Primary Products from Animals"
"839805","Management of Water Consumption by Animal Production","630501p","Livestock"
"839805","Management of Water Consumption by Animal Production","630502p","Pasture, Browse and Fodder Crops"
"839805","Management of Water Consumption by Animal Production","630503p","Fish"
"839805","Management of Water Consumption by Animal Production","630504p","Primary Products from Animals"
"839899","Environmentally Sustainable Animal Production not elsewhere classified","630501p","Livestock"
"839899","Environmentally Sustainable Animal Production not elsewhere classified","630502p","Pasture, Browse and Fodder Crops"
"839899","Environmentally Sustainable Animal Production not elsewhere classified","630503p","Fish"
"839899","Environmentally Sustainable Animal Production not elsewhere classified","630504p","Primary Products from Animals"
"839901","Animal Welfare","630199p","Livestock not elsewhere classified"
"839901","Animal Welfare","630399p","Fish not elsewhere classified"
"839901","Animal Welfare","630499p","Primary Animal Products not elsewhere classified"
"839902","Fish Product Traceability and Quality Assurance","630399p","Fish not elsewhere classified"
"839902","Fish Product Traceability and Quality Assurance","630499p","Primary Animal Products not elsewhere classified"
"839903","Livestock Product Traceability and Quality Assurance","630199p","Livestock not elsewhere classified"
"839903","Livestock Product Traceability and Quality Assurance","630499p","Primary Animal Products not elsewhere classified"
"839999","Animal Production and Animal Primary Products not elsewhere classified","630199p","Livestock not elsewhere classified"
"839999","Animal Production and Animal Primary Products not elsewhere classified","630299p","Other"
"839999","Animal Production and Animal Primary Products not elsewhere classified","630399p","Fish not elsewhere classified"
"839999","Animal Production and Animal Primary Products not elsewhere classified","630499p","Primary Animal Products not elsewhere classified"
"840101","Aluminium Ore Exploration",640102,"Aluminium Ores"
"840102","Copper Ore Exploration","640105p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"840103","Diamond Exploration","640199p","Other Non-Metallic Minerals (incl. Diamonds)"
"840104","Iron Ore Exploration",640101,"Iron Ores (i.e. Ferrous Ores)"
"840105","Precious (Noble) Metal Ore Exploration",640103,"Precious (Noble) Metal Ores"
"840106","Stone and Clay Exploration",640106,"Stone and Clay"
"840107","Titanium Minerals, Zircon, and Rare Earth Metal Ore (e.g. Monazite) Exploration",640104,"Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)"
"840108","Zinc Ore Exploration","640105p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"840199","Mineral Exploration not elsewhere classified","640105p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"840199","Mineral Exploration not elsewhere classified","640199p","Other Non-Metallic Minerals (incl. Diamonds)"
"840201","Mining and Extraction of Aluminium Ores",640202,"Aluminium Ores"
"840202","Mining and Extraction of Copper Ores","640205p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"840203","Mining and Extraction of Diamonds","640299p","Other Non-Metallic Minerals (incl. Diamonds)"
"840204","Mining and Extraction of Iron Ores",640201,"Iron Ores (i.e. Ferrous Ores)"
"840205","Mining and Extraction of Precious (Noble) Metal Ores ",640203,"Precious (Noble) Metal Ores"
"840206","Mining and Extraction of Stone and Clay",640206,"Stone and Clay"
"840207","Mining and Extraction of Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)",640204,"Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)"
"840208","Mining and Extraction of Zinc Ores","640205p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"840299","Primary Mining and Extraction of Mineral Resources not elsewhere classified","640205p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"840299","Primary Mining and Extraction of Mineral Resources not elsewhere classified","640299p","Other Non-Metallic Minerals (incl. Diamonds)"
"840301","Alumina Production",640302,"Alumina Production"
"840302","Beneficiation of Bauxite and Aluminium Ores (excl. Alumina Production)",640303,"Other Beneficiation of Bauxite and Aluminium Ores"
