,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"890103","Mobile Data Networks and Services","700302p","Telecommunications"
"890104","Mobile Telephone Networks and Services","700302p","Telecommunications"
"890105","Satellite Communication Networks and Services","700302p","Telecommunications"
"890106","Videoconference Services","700399p","Communication Services not elsewhere classified"
"890199","Communication Networks and Services not elsewhere classified","700399p","Communication Services not elsewhere classified"
"890201","Application Software Packages (excl. Computer Games)","700101p","Application Packages"
"890202","Application Tools and System Utilities",700102,"Application Tools and System Utilities"
"890203","Computer Gaming Software","700101p","Application Packages"
"890204","Computer Time Leasing, Sharing and Renting Services","700199p","Computer Software and Services not elsewhere classified"
"890205","Information Processing Services (incl. Data Entry and Capture)",700103,"Information Processing Services"
"890206","Internet Hosting Services (incl. Application Hosting Services)","700199p","Computer Software and Services not elsewhere classified"
"890299","Computer Software and Services not elsewhere classified","700199p","Computer Software and Services not elsewhere classified"
"890301","Electronic Information Storage and Retrieval Services","700299p","Information Services not elsewhere classified"
"890302","Library and Archival Services",700201,"Library and Related Information Services"
"890303","News Collection Services","700299p","Information Services not elsewhere classified"
"890399","Information Services not elsewhere classified","700299p","Information Services not elsewhere classified"
"890401","Animation and Computer Generated Imagery Services","700399p","Communication Services not elsewhere classified"
"890402","Film and Video Services (excl. Animation and Computer Generated Imagery)","700399p","Communication Services not elsewhere classified"
"890403","Internet Broadcasting","700301p","Broadcasting"
"890404","Publishing and Print Services (incl. Internet Publishing)","700399p","Communication Services not elsewhere classified"
"890405","Radio and Television Broadcasting","700301p","Broadcasting"
"890499","Media Services not elsewhere classified","700399p","Communication Services not elsewhere classified"
"899801","Management of Greenhouse Gas Emissions from Information and Communication Services","700401p","Prevention and Treatment of Pollution"
"899802","Management of Solid Waste from Information and Communication Services","700401p","Prevention and Treatment of Pollution"
"899803","Management of Water Consumption by Information and Communication Services","700401p","Prevention and Treatment of Pollution"
"899899","Environmentally Sustainable Information and Communication Services not elsewhere classified","700401p","Prevention and Treatment of Pollution"
"899999","Information and Communication Services not elsewhere classified","700199p","Computer Software and Services not elsewhere classified"
"899999","Information and Communication Services not elsewhere classified","700299p","Information Services not elsewhere classified"
"899999","Information and Communication Services not elsewhere classified","700399p","Communication Services not elsewhere classified"
"900101","Finance Services","710401p","Finance and Investment Services"
"900102","Investment Services (excl. Superannuation)","710401p","Finance and Investment Services"
"900103","Superannuation and Insurance Services","710402p","Insurance Services"
"900199","Financial Services not elsewhere classified","710401p","Finance and Investment Services"
"900201","Administration and Business Support Services","710403p","Property and Business Services"
"900201","Administration and Business Support Services","710699p","Commercial Services not elsewhere classified"
"900202","Professional, Scientific and Technical Services","710699p","Commercial Services not elsewhere classified"
"900203","Property Services (incl. Security)","710403p","Property and Business Services"
"900203","Property Services (incl. Security)",710603,"Commercial Security Services"
"900204","Wholesale and Retail Trade",710301,"Wholesale Trade"
"900204","Wholesale and Retail Trade",710302,"Retail Trade"
"900299","Property, Business Support Services and Trade not elsewhere classified","710699p","Commercial Services not elsewhere classified"
"900301","Economic Issues in Tourism",710501,"Economic Issues"
"900302","Socio-Cultural Issues in Tourism",710502,"Socio-Cultural Issues"
"900303","Tourism Infrastructure Development",710503,"Tourism Infrastructure Development"
"900399","Tourism not elsewhere classified",710599,"Tourism not elsewhere classified"
"900401","Waste Management Services",710201,"Waste Management"
"900402","Waste Recycling Services",710202,"Recycling"
"900403","Water Recycling Services (incl. Sewage and Greywater)","710103p","Water Services and Utilities"
"900404","Water Services and Utilities","710103p","Water Services and Utilities"
"900499","Water and Waste Services not elsewhere classified",710299,"Other"
"909801","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)","710701p","Electricity, Gas and Water Services and Utilities"
"909801","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)","710702p","Waste Management and Recycling"
"909801","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)","710703p","Wholesale and Retail Trade"
"909801","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)","710704p","Finance, Property and Business Services"
"909801","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)","710705p","Tourism"
"909801","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)","710706p","Other Commercial Services"
"909802","Management of Greenhouse Gas Emissions from Commercial Services and Tourism","710701p","Electricity, Gas and Water Services and Utilities"
"909802","Management of Greenhouse Gas Emissions from Commercial Services and Tourism","710702p","Waste Management and Recycling"
"909802","Management of Greenhouse Gas Emissions from Commercial Services and Tourism","710703p","Wholesale and Retail Trade"
"909802","Management of Greenhouse Gas Emissions from Commercial Services and Tourism","710704p","Finance, Property and Business Services"
"909802","Management of Greenhouse Gas Emissions from Commercial Services and Tourism","710705p","Tourism"
"909802","Management of Greenhouse Gas Emissions from Commercial Services and Tourism","710706p","Other Commercial Services"
"909803","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)","710701p","Electricity, Gas and Water Services and Utilities"
"909803","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)","710702p","Waste Management and Recycling"
"909803","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)","710703p","Wholesale and Retail Trade"
"909803","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)","710704p","Finance, Property and Business Services"
"909803","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)","710705p","Tourism"
"909803","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)","710706p","Other Commercial Services"
"909804","Management of Solid Waste from Commercial Services and Tourism","710701p","Electricity, Gas and Water Services and Utilities"
"909804","Management of Solid Waste from Commercial Services and Tourism","710702p","Waste Management and Recycling"
"909804","Management of Solid Waste from Commercial Services and Tourism","710703p","Wholesale and Retail Trade"
"909804","Management of Solid Waste from Commercial Services and Tourism","710704p","Finance, Property and Business Services"
"909804","Management of Solid Waste from Commercial Services and Tourism","710705p","Tourism"
"909804","Management of Solid Waste from Commercial Services and Tourism","710706p","Other Commercial Services"
"909805","Management of Water Consumption by Commercial Services and Tourism","710701p","Electricity, Gas and Water Services and Utilities"
"909805","Management of Water Consumption by Commercial Services and Tourism","710702p","Waste Management and Recycling"
"909805","Management of Water Consumption by Commercial Services and Tourism","710703p","Wholesale and Retail Trade"
"909805","Management of Water Consumption by Commercial Services and Tourism","710704p","Finance, Property and Business Services"
"909805","Management of Water Consumption by Commercial Services and Tourism","710705p","Tourism"
"909805","Management of Water Consumption by Commercial Services and Tourism","710706p","Other Commercial Services"
"909899","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified","710701p","Electricity, Gas and Water Services and Utilities"
"909899","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified","710702p","Waste Management and Recycling"
"909899","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified","710703p","Wholesale and Retail Trade"
"909899","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified","710704p","Finance, Property and Business Services"
"909899","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified","710705p","Tourism"
"909899","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified","710706p","Other Commercial Services"
"909901","Hospitality Services",710602,"Hospitality Services"
"909902","Recreational Services",710601,"Recreational Services"
"909999","Commercial Services and Tourism not elsewhere classified","710699p","Commercial Services not elsewhere classified"
"910101","Balance of Payments",720104,"Balance of Payments"
"910102","Demography","720199p","Macroeconomic Issues not elsewhere classified"
"910103","Economic Growth","720199p","Macroeconomic Issues not elsewhere classified"
"910104","Exchange Rates",720103,"Exchange Rates"
"910105","Fiscal Policy",720101,"Fiscal Policy"
"910106","Income Distribution",720105,"Income Distribution"
"910107","Macro Labour Market Issues","720199p","Macroeconomic Issues not elsewhere classified"
"910108","Monetary Policy",720102,"Monetary Policy"
"910109","Savings and Investments","720199p","Macroeconomic Issues not elsewhere classified"
"910110","Taxation",720106,"Taxation"
"910199","Macroeconomics not elsewhere classified","720199p","Macroeconomic Issues not elsewhere classified"
"910201","Consumption",720202,"Consumption"
"910202","Human Capital Issues","720299p","Microeconomic Issues not elsewhere classified"
"910203","Industrial Organisations",720203,"Industrial Organisations"
"910204","Industry Costs and Structure",720205,"Industry Costs and Structure"
"910205","Industry Policy",720204,"Industry Policy"
"910206","Market-Based Mechanisms","720299p","Microeconomic Issues not elsewhere classified"
"910207","Microeconomic Effects of Taxation",720201,"Microeconomic Effects of Taxation"
"910208","Micro Labour Market Issues","720299p","Microeconomic Issues not elsewhere classified"
"910209","Preference, Behaviour and Welfare","720299p","Microeconomic Issues not elsewhere classified"
"910210","Production","720299p","Microeconomic Issues not elsewhere classified"
"910211","Supply and Demand","720299p","Microeconomic Issues not elsewhere classified"
"910299","Microeconomics not elsewhere classified","720299p","Microeconomic Issues not elsewhere classified"
"910301","International Agreements on Trade",720303,"International Agreements on Trade"
"910302","Trade Assistance and Protection",720302,"Assistance and Protection"
"910303","Trade Policy",720301,"Trade Policy"
"910399","International Trade not elsewhere classified",720399,"International Trade Issues not elsewhere classified"
"910401","Industrial Relations",720402,"Industrial Relations"
"910402","Management",720403,"Management"
"910403","Marketing",720401,"Marketing"
"910404","Productivity (excl. Public Sector)",720404,"Productivity"
"910405","Public Sector Productivity","720499p","Management and Productivity Issues not elsewhere classified"
"910406","Technological and Organisational Innovation",729901,"Technological and Organisational Innovation"
"910499","Management and Productivity not elsewhere classified","720499p","Management and Productivity Issues not elsewhere classified"
"910501","Agricultural and Environmental Standards","720599p","Measurement Standards and Calibration Services not elsewhere classified"
"910502","Defence Standards and Calibrations",720501,"Defence Standards and Calibrations"
"910503","Manufacturing Standards and Calibrations",720502,"Manufacturing Standards and Calibrations"
"910504","Service Industries Standards and Calibrations",720503,"Service Industries Standards and Calibrations"
"910599","Measurement Standards and Calibration Services not elsewhere classified","720599p","Measurement Standards and Calibration Services not elsewhere classified"
"919901","Carbon and Emissions Trading","729999p","Economic Issues not elsewhere classified"
"919902","Ecological Economics","729999p","Economic Issues not elsewhere classified"
"919999","Economic Framework not elsewhere classified","729999p","Economic Issues not elsewhere classified"
"920101","Blood Disorders",730103,"Blood Disorders"
"920102","Cancer and Related Disorders",730108,"Cancer and Related Disorders"
"920103","Cardiovascular System and Diseases",730106,"Cardiovascular System and Diseases"
"920104","Diabetes","730105p","Endocrine Organs and Diseases (incl. Diabetes)"
"920105","Digestive System Disorders",730113,"Digestive System Disorders"
"920106","Endocrine Organs and Diseases (excl. Diabetes)","730105p","Endocrine Organs and Diseases (incl. Diabetes)"
"920107","Hearing, Vision, Speech and Their Disorders",730111,"Hearing, Vision, Speech and Their Disorders"
"920108","Immune System and Allergy",730102,"Immune System and Allergy"
"920109","Infectious Diseases",730101,"Infectious Diseases"
"920110","Inherited Diseases (incl. Gene Therapy)",730107,"Inherited Diseases (incl. Gene Therapy)"
"920111","Nervous System and Disorders",730104,"Nervous System and Disorders"
"920112","Neurodegenerative Disorders Related to Ageing","730118p","Organs, Diseases and Abnormal Conditions not elsewhere classified"
"920112","Neurodegenerative Disorders Related to Ageing","730199p","Clinical Health not specific to Particular Organs, Diseases and Conditions"
"920113","Oro-Dental Disorders",730112,"Oro-Dental Disorders"
"920114","Reproductive System and Disorders",730116,"Reproductive System and Disorders"
"920115","Respiratory System and Diseases (incl. Asthma)",730110,"Respiratory System and Diseases (incl. Asthma)"
"920116","Skeletal System and Disorders (incl. Arthritis)",730114,"Skeletal System and Disorders (incl. Arthritis)"
"920117","Skin and Related Disorders",730117,"Skin and Related Disorders"
"920118","Surgical Methods and Procedures",730109,"Surgical Methods and Procedures"
"920119","Urogenital System and Disorders",730115,"Urogenital System and Disorders"
"920120","Zoonoses","730118p","Organs, Diseases and Abnormal Conditions not elsewhere classified"
"920120","Zoonoses","730199p","Clinical Health not specific to Particular Organs, Diseases and Conditions"
"920199","Clinical Health (Organs, Diseases and Abnormal Conditions) not elsewhere classified","730118p","Organs, Diseases and Abnormal Conditions not elsewhere classified"
"920199","Clinical Health (Organs, Diseases and Abnormal Conditions) not elsewhere classified","730199p","Clinical Health not specific to Particular Organs, Diseases and Conditions"
"920201","Allied Health Therapies (excl. Mental Health Services)",730303,"Occupational, Speech and Physiotherapy"
"920201","Allied Health Therapies (excl. Mental Health Services)","730399p","Health and Support Services not elsewhere classified"
"920202","Carer Health","730399p","Health and Support Services not elsewhere classified"
"920203","Diagnostic Methods",730305,"Diagnostic Methods"
"920204","Evaluation of Health Outcomes",730306,"Evaluation of Health Outcomes"
"920205","Health Education and Promotion",730301,"Health Education and Promotion"
"920206","Health Inequalities","730399p","Health and Support Services not elsewhere classified"
"920207","Health Policy Economic Outcomes",730308,"Health Policy Economic Outcomes"
920208,"Health Policy Evaluation",730307,"Health Policy Evaluation"
"920209","Mental Health Services","730399p","Health and Support Services not elsewhere classified"
"920210","Nursing",730302,"Nursing"
"920211","Palliative Care",730304,"Palliative Care"
"920299","Health and Support Services not elsewhere classified","730399p","Health and Support Services not elsewhere classified"
"920301","Aboriginal and Torres Strait Islander Health - Determinants of Health","730206p","Aboriginal and Torres Strait Islander Health"
"920302","Aboriginal and Torres Strait Islander Health - Health Status and Outcomes","730206p","Aboriginal and Torres Strait Islander Health"
"920303","Aboriginal and Torres Strait Islander Health - Health System Performance (incl. Effectiveness of Interventions)","730206p","Aboriginal and Torres Strait Islander Health"
"920304","Maori Health - Determinants of Health","730207p","Health Related to Specific Ethnic Groups"
"920305","Maori Health - Health Status and Outcomes","730207p","Health Related to Specific Ethnic Groups"
"920306","Maori Health - Health System Performance (incl. Effectiveness of Interventions)","730207p","Health Related to Specific Ethnic Groups"
"920307","Pacific Peoples Health - Determinants of Health","730207p","Health Related to Specific Ethnic Groups"
"920308","Pacific Peoples Health - Health Status and Outcomes","730207p","Health Related to Specific Ethnic Groups"
"920309","Pacific Peoples Health - Health System Performance (incl. Effectiveness of Interventions)","730207p","Health Related to Specific Ethnic Groups"
"920399","Indigenous Health not elsewhere classified","730299p","Public Health not elsewhere classified"
"920401","Behaviour and Health",730219,"Behaviour and Health"
"920402","Dental Health",730214,"Dental Health"
"920403","Disability and Functional Capacity","730299p","Public Health not elsewhere classified"
"920404","Disease Distribution and Transmission (incl. Surveillance and Response)",730212,"Disease Distribution and Transmission"
"920405","Environmental Health",730210,"Environmental Health"
"920406","Food Safety",730216,"Food Safety"
"920407","Health Protection and/or Disaster Response","730299p","Public Health not elsewhere classified"
"920408","Health Status (e.g. Indicators of Well-Being)",730217,"Health Status (e.g. Indicators of Well-Being)"
"920409","Injury Control",730220,"Injury Control"
"920410","Mental Health",730211,"Mental Health"
"920411","Nutrition",730215,"Nutrition"
"920412","Preventive Medicine",730213,"Preventive Medicine"
"920413","Social Structure and Health",730218,"Social Structure and Health"
"920414","Substance Abuse",730205,"Substance Abuse"
"920499","Public Health (excl. Specific Population Health) not elsewhere classified","730299p","Public Health not elsewhere classified"
"920501","Child Health",730204,"Child Health"
"920502","Health Related to Ageing",730203,"Health related to Ageing"
"920503","Health Related to Specific Ethnic Groups","730207p","Health Related to Specific Ethnic Groups"
"920504","Men's Health",730202,"Men's Health"
"920505","Occupational Health",730208,"Occupational Health (excl. Economic Development Aspects)"
"920506","Rural Health",730209,"Rural Health"
"920507","Women's Health",730201,"Women's Health"
"920599","Specific Population Health (excl. Indigenous Health) not elsewhere classified","730299p","Public Health not elsewhere classified"
"929999","Health not elsewhere classified","730118p","Organs, Diseases and Abnormal Conditions not elsewhere classified"
"929999","Health not elsewhere classified","730199p","Clinical Health not specific to Particular Organs, Diseases and Conditions"
"929999","Health not elsewhere classified","730299p","Public Health not elsewhere classified"
"929999","Health not elsewhere classified","730399p","Health and Support Services not elsewhere classified"
"930101","Learner and Learning Achievement","740101p","Early Childhood Education"
"930101","Learner and Learning Achievement","740102p","Primary Education"
"930101","Learner and Learning Achievement","740201p","Secondary Education"
"930101","Learner and Learning Achievement","740301p","Higher Education"
"930101","Learner and Learning Achievement","740401p","Vocational Education and Training"
"930101","Learner and Learning Achievement","740501p","Special Education"
"930101","Learner and Learning Achievement","749999p","Education and Training not elsewhere classified"
"930102","Learner and Learning Processes","740101p","Early Childhood Education"
"930102","Learner and Learning Processes","740102p","Primary Education"
"930102","Learner and Learning Processes","740201p","Secondary Education"
"930102","Learner and Learning Processes","740301p","Higher Education"
"930102","Learner and Learning Processes","740401p","Vocational Education and Training"
"930102","Learner and Learning Processes","740501p","Special Education"
"930102","Learner and Learning Processes","749999p","Education and Training not elsewhere classified"
"930103","Learner Development","740101p","Early Childhood Education"
"930103","Learner Development","740102p","Primary Education"
"930103","Learner Development","740201p","Secondary Education"
"930103","Learner Development","740301p","Higher Education"
"930103","Learner Development","740401p","Vocational Education and Training"
"930103","Learner Development","740501p","Special Education"
"930103","Learner Development","749999p","Education and Training not elsewhere classified"
"930104","Moral and Social Development (incl. Affect)","740101p","Early Childhood Education"
"930104","Moral and Social Development (incl. Affect)","740102p","Primary Education"
"930104","Moral and Social Development (incl. Affect)","740201p","Secondary Education"
"930104","Moral and Social Development (incl. Affect)","740301p","Higher Education"
"930104","Moral and Social Development (incl. Affect)","740401p","Vocational Education and Training"
"930104","Moral and Social Development (incl. Affect)","740501p","Special Education"
"930104","Moral and Social Development (incl. Affect)","749999p","Education and Training not elsewhere classified"
"930199","Learner and Learning not elsewhere classified","740101p","Early Childhood Education"
"930199","Learner and Learning not elsewhere classified","740102p","Primary Education"
"930199","Learner and Learning not elsewhere classified","740201p","Secondary Education"
"930199","Learner and Learning not elsewhere classified","740301p","Higher Education"
"930199","Learner and Learning not elsewhere classified","740401p","Vocational Education and Training"
"930199","Learner and Learning not elsewhere classified","740501p","Special Education"
"930199","Learner and Learning not elsewhere classified","749999p","Education and Training not elsewhere classified"
"930201","Pedagogy","740101p","Early Childhood Education"
"930201","Pedagogy","740102p","Primary Education"
"930201","Pedagogy","740201p","Secondary Education"
"930201","Pedagogy","740301p","Higher Education"
"930201","Pedagogy","740401p","Vocational Education and Training"
"930201","Pedagogy","740501p","Special Education"
"930201","Pedagogy","749999p","Education and Training not elsewhere classified"
"930202","Teacher and Instructor Development","740101p","Early Childhood Education"
"930202","Teacher and Instructor Development","740102p","Primary Education"
"930202","Teacher and Instructor Development","740201p","Secondary Education"
"930202","Teacher and Instructor Development","740301p","Higher Education"
"930202","Teacher and Instructor Development","740401p","Vocational Education and Training"
"930202","Teacher and Instructor Development","740501p","Special Education"
"930202","Teacher and Instructor Development","749999p","Education and Training not elsewhere classified"
"930203","Teaching and Instruction Technologies","740101p","Early Childhood Education"
"930203","Teaching and Instruction Technologies","740102p","Primary Education"
"930203","Teaching and Instruction Technologies","740201p","Secondary Education"
"930203","Teaching and Instruction Technologies","740301p","Higher Education"
"930203","Teaching and Instruction Technologies","740401p","Vocational Education and Training"
"930203","Teaching and Instruction Technologies","740501p","Special Education"
"930203","Teaching and Instruction Technologies","749999p","Education and Training not elsewhere classified"
"930299","Teaching and Instruction not elsewhere classified","740101p","Early Childhood Education"
"930299","Teaching and Instruction not elsewhere classified","740102p","Primary Education"
"930299","Teaching and Instruction not elsewhere classified","740201p","Secondary Education"
"930299","Teaching and Instruction not elsewhere classified","740301p","Higher Education"
"930299","Teaching and Instruction not elsewhere classified","740401p","Vocational Education and Training"
"930299","Teaching and Instruction not elsewhere classified","740501p","Special Education"
"930299","Teaching and Instruction not elsewhere classified","749999p","Education and Training not elsewhere classified"
"930301","Assessment and Evaluation of Curriculum","740101p","Early Childhood Education"
"930301","Assessment and Evaluation of Curriculum","740102p","Primary Education"
"930301","Assessment and Evaluation of Curriculum","740201p","Secondary Education"
"930301","Assessment and Evaluation of Curriculum","740301p","Higher Education"
"930301","Assessment and Evaluation of Curriculum","740401p","Vocational Education and Training"
"930301","Assessment and Evaluation of Curriculum","740501p","Special Education"
"930301","Assessment and Evaluation of Curriculum","749999p","Education and Training not elsewhere classified"
"930302","Syllabus and Curriculum Development","740101p","Early Childhood Education"
"930302","Syllabus and Curriculum Development","740102p","Primary Education"
"930302","Syllabus and Curriculum Development","740201p","Secondary Education"
"930302","Syllabus and Curriculum Development","740301p","Higher Education"
"930302","Syllabus and Curriculum Development","740401p","Vocational Education and Training"
"930302","Syllabus and Curriculum Development","740501p","Special Education"
"930302","Syllabus and Curriculum Development","749999p","Education and Training not elsewhere classified"
"930399","Curriculum not elsewhere classified","740101p","Early Childhood Education"
"930399","Curriculum not elsewhere classified","740102p","Primary Education"
"930399","Curriculum not elsewhere classified","740201p","Secondary Education"
"930399","Curriculum not elsewhere classified","740301p","Higher Education"
"930399","Curriculum not elsewhere classified","740401p","Vocational Education and Training"
"930399","Curriculum not elsewhere classified","740501p","Special Education"
"930399","Curriculum not elsewhere classified","749999p","Education and Training not elsewhere classified"
"930401","Management and Leadership of Schools/Institutions","740101p","Early Childhood Education"
"930401","Management and Leadership of Schools/Institutions","740102p","Primary Education"
"930401","Management and Leadership of Schools/Institutions","740201p","Secondary Education"
"930401","Management and Leadership of Schools/Institutions","740301p","Higher Education"
"930401","Management and Leadership of Schools/Institutions","740401p","Vocational Education and Training"
"930401","Management and Leadership of Schools/Institutions","740501p","Special Education"
"930401","Management and Leadership of Schools/Institutions","749999p","Education and Training not elsewhere classified"
"930402","School/Institution Community and Environment","740101p","Early Childhood Education"
"930402","School/Institution Community and Environment","740102p","Primary Education"
"930402","School/Institution Community and Environment","740201p","Secondary Education"
"930402","School/Institution Community and Environment","740301p","Higher Education"
"930402","School/Institution Community and Environment","740401p","Vocational Education and Training"
"930402","School/Institution Community and Environment","740501p","Special Education"
"930402","School/Institution Community and Environment","749999p","Education and Training not elsewhere classified"
"930403","School/Institution Policies and Development","740101p","Early Childhood Education"
"930403","School/Institution Policies and Development","740102p","Primary Education"
"930403","School/Institution Policies and Development","740201p","Secondary Education"
"930403","School/Institution Policies and Development","740301p","Higher Education"
"930403","School/Institution Policies and Development","740401p","Vocational Education and Training"
"930403","School/Institution Policies and Development","740501p","Special Education"
"930403","School/Institution Policies and Development","749999p","Education and Training not elsewhere classified"
"930499","School/Institution not elsewhere classified","740101p","Early Childhood Education"
"930499","School/Institution not elsewhere classified","740102p","Primary Education"
"930499","School/Institution not elsewhere classified","740201p","Secondary Education"
"930499","School/Institution not elsewhere classified","740301p","Higher Education"
"930499","School/Institution not elsewhere classified","740401p","Vocational Education and Training"
"930499","School/Institution not elsewhere classified","740501p","Special Education"
"930499","School/Institution not elsewhere classified","749999p","Education and Training not elsewhere classified"
"930501","Education and Training Systems Policies and Development",749906,"Education Policy"
"930501","Education and Training Systems Policies and Development","749999p","Education and Training not elsewhere classified"
"930502","Management of Education and Training Systems","740101p","Early Childhood Education"
"930502","Management of Education and Training Systems","740102p","Primary Education"
"930502","Management of Education and Training Systems","740201p","Secondary Education"
"930502","Management of Education and Training Systems","740301p","Higher Education"
"930502","Management of Education and Training Systems","740401p","Vocational Education and Training"
"930502","Management of Education and Training Systems","740501p","Special Education"
"930502","Management of Education and Training Systems","749999p","Education and Training not elsewhere classified"
"930503","Resourcing of Education and Training Systems","740101p","Early Childhood Education"
"930503","Resourcing of Education and Training Systems","740102p","Primary Education"
"930503","Resourcing of Education and Training Systems","740201p","Secondary Education"
"930503","Resourcing of Education and Training Systems","740301p","Higher Education"
"930503","Resourcing of Education and Training Systems","740401p","Vocational Education and Training"
"930503","Resourcing of Education and Training Systems","740501p","Special Education"
"930503","Resourcing of Education and Training Systems","749999p","Education and Training not elsewhere classified"
"930599","Education and Training Systems not elsewhere classified","740101p","Early Childhood Education"
"930599","Education and Training Systems not elsewhere classified","740102p","Primary Education"
"930599","Education and Training Systems not elsewhere classified","740201p","Secondary Education"
"930599","Education and Training Systems not elsewhere classified","740301p","Higher Education"
"930599","Education and Training Systems not elsewhere classified","740401p","Vocational Education and Training"
"930599","Education and Training Systems not elsewhere classified","740501p","Special Education"
"930599","Education and Training Systems not elsewhere classified","749999p","Education and Training not elsewhere classified"
"939901","Aboriginal and Torres Strait Islander Education",749903,"Aboriginal and Torres Strait Islander Education"
"939902","Education and Training Theory and Methodology","749999p","Education and Training not elsewhere classified"
"939903","Equity and Access to Education","749999p","Education and Training not elsewhere classified"
"939904","Gender Aspects of Education",749905,"Gender Aspects of Education"
"939905","Maori Education","749999p","Education and Training not elsewhere classified"
"939906","Pacific Peoples Education","749999p","Education and Training not elsewhere classified"
"939907","Special Needs Education","740501p","Special Education"
"939907","Special Needs Education","749999p","Education and Training not elsewhere classified"
"939908","Workforce Transition and Employment","749999p","Education and Training not elsewhere classified"
"939999","Education and Training not elsewhere classified",749901,"Occupational Training"
"939999","Education and Training not elsewhere classified",749902,"Continuing Education"
"939999","Education and Training not elsewhere classified",749904,"Education Across Cultures"
"939999","Education and Training not elsewhere classified","749999p","Education and Training not elsewhere classified"
"940101","Ability and Disability",750305,"Ability and Disability"
"940102","Aboriginal and Torres Strait Islander Development and Welfare",750309,"Aboriginal and Torres Strait Islander Development and Welfare"
"940103","Ageing and Older People",750304,"The Aged"
"940104","Carers' Development and Welfare",750310,"Carers Development and Welfare (i.e. Carers for the Aged, Disabled)"
"940105","Children's/Youth Services and Childcare",750312,"Youth/Child Development and Welfare"
"940105","Children's/Youth Services and Childcare","750399p","Community Services not elsewhere classified"
"940106","Citizenship and National Identity",750308,"National Identity"
"940107","Comparative Structure and Development of Community Services","750399p","Community Services not elsewhere classified"
"940108","Distribution of Income and Wealth",750301,"The Distribution of Wealth"
"940108","Distribution of Income and Wealth","750399p","Community Services not elsewhere classified"
"940109","Employment Services","750399p","Community Services not elsewhere classified"
"940110","Environmental Services","750399p","Community Services not elsewhere classified"
"940111","Ethnicity, Multiculturalism and Migrant Development and Welfare",750306,"Ethnicity and Multiculturalism"
"940111","Ethnicity, Multiculturalism and Migrant Development and Welfare",750311,"Migrant Development and Welfare"
"940112","Families and Family Services",750307,"Families"
"940112","Families and Family Services","750399p","Community Services not elsewhere classified"
"940113","Gender and Sexualities",750303,"Gender"
"940113","Gender and Sexualities","750399p","Community Services not elsewhere classified"
"940114","Maori Development and Welfare","750399p","Community Services not elsewhere classified"
"940115","Pacific Peoples Development and Welfare","750399p","Community Services not elsewhere classified"
"940116","Social Class and Inequalities",750302,"Class"
"940116","Social Class and Inequalities","750399p","Community Services not elsewhere classified"
"940117","Structure, Delivery and Financing of Community Services","750399p","Community Services not elsewhere classified"
"940199","Community Service (excl. Work) not elsewhere classified","750399p","Community Services not elsewhere classified"
"940201","Civics and Citizenship",750604,"Civics and Citizenship"
"940202","Electoral Systems",750602,"Understanding Electoral Systems"
"940203","Political Systems",750601,"Understanding Political Systems"
"940204","Public Services Policy Advice and Analysis",750605,"Public Services Management"
"940204","Public Services Policy Advice and Analysis","750699p","Government and Politics not elsewhere classified"
"940299","Government and Politics not elsewhere classified",750603,"Federalism in Australia"
"940299","Government and Politics not elsewhere classified","750699p","Government and Politics not elsewhere classified"
"940301","Defence and Security Policy","750799p","International Relations not elsewhere classified"
"940302","International Aid and Development",750704,"International Aid"
"940303","International Organisations",750703,"International Organisations"
"940304","International Political Economy (excl. International Trade)","750799p","International Relations not elsewhere classified"
"940399","International Relations not elsewhere classified",750701,"Understanding International Relations"
"940399","International Relations not elsewhere classified",750702,"Understanding Other Countries"
"940399","International Relations not elsewhere classified","750799p","International Relations not elsewhere classified"
"940401","Civil Justice","750599p","Justice and the Law not elsewhere classified"
"940402","Crime Prevention","750599p","Justice and the Law not elsewhere classified"
"940403","Criminal Justice","750599p","Justice and the Law not elsewhere classified"
"940404","Law Enforcement",750504,"Law Enforcement"
"940405","Law Reform","750599p","Justice and the Law not elsewhere classified"
"940406","Legal Processes",750503,"Understanding Legal Processes"
"940407","Legislation, Civil and Criminal Codes","750599p","Justice and the Law not elsewhere classified"
