,"Australian Bureau of Statistics Statistics New Zealand",,
240499,"Optical Physics not elsewhere classified ","020503p","Nonlinear Optics and Spectroscopy"
240499,"Optical Physics not elsewhere classified ","020504p","Photonics, Optoelectronics and Optical Communications"
240499,"Optical Physics not elsewhere classified ","020599p","Optical Physics not elsewhere classified "
240499,"Optical Physics not elsewhere classified ","020601p","Degenerate Quantum Gases and Atom Optics"
240501,"Acoustics and Acoustical Devices; Waves","010502p","Integrable Systems (Classical and Quantum)"
240501,"Acoustics and Acoustical Devices; Waves","010503p","Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory"
240501,"Acoustics and Acoustical Devices; Waves","020301","Acoustics and Acoustical Devices; Waves"
240502,"Fluid Physics","010502p","Integrable Systems (Classical and Quantum)"
240502,"Fluid Physics","010503p","Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory"
240502,"Fluid Physics","020303","Fluid Physics"
240503,"Thermodynamics and Statistical Physics ","010502p","Integrable Systems (Classical and Quantum)"
240503,"Thermodynamics and Statistical Physics ","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
240503,"Thermodynamics and Statistical Physics ","020304","Thermodynamics and Statistical Physics "
240504,"Electrostatics and Electrodynamics ","010502p","Integrable Systems (Classical and Quantum)"
240504,"Electrostatics and Electrodynamics ","010503p","Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory"
240504,"Electrostatics and Electrodynamics ","020302","Electrostatics and Electrodynamics "
240599,"Classical Physics not elsewhere classified ","010502p","Integrable Systems (Classical and Quantum)"
240599,"Classical Physics not elsewhere classified ","010503p","Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory"
240599,"Classical Physics not elsewhere classified ","020399p","Classical Physics not elsewhere classified "
249901,"Biophysics ","029901","Biological Physics"
249902,"Medical Physics","029903","Medical Physics"
249903,"Instruments and Techniques ","029904","Synchrotrons; Accelerators; Instruments and Techniques"
249999,"Physical Sciences not elsewhere classified ","010501p","Algebraic Structures in Mathematical Physics"
249999,"Physical Sciences not elsewhere classified ","010502p","Integrable Systems (Classical and Quantum)"
249999,"Physical Sciences not elsewhere classified ","010503p","Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory"
249999,"Physical Sciences not elsewhere classified ","010504p","Mathematical Aspects of General Relativity"
249999,"Physical Sciences not elsewhere classified ","010505p","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory"
249999,"Physical Sciences not elsewhere classified ","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
249999,"Physical Sciences not elsewhere classified ","010599p","Mathematical Physics not elsewhere classified"
249999,"Physical Sciences not elsewhere classified ","020601p","Degenerate Quantum Gases and Atom Optics"
249999,"Physical Sciences not elsewhere classified ","020603p","Quantum Information, Computation and Communication"
249999,"Physical Sciences not elsewhere classified ","020699p","Quantum Physics not elsewhere classified"
249999,"Physical Sciences not elsewhere classified ","029902","Complex Physical Systems"
249999,"Physical Sciences not elsewhere classified ","029999p","Physical Sciences not elsewhere classified "
250101,"Chemical Thermodynamics and Energetics","030602","Chemical Thermodynamics and Energetics"
250102,"Chemistry of Catalysis ","030601p","Catalysis and Mechanisms of Reactions"
250103,"Colloid and Surface Chemistry","030603","Colloid and Surface Chemistry"
250104,"Chemical Spectroscopy","030606p","Structural Chemistry and Spectroscopy"
250105,"Structural Chemistry ","030606p","Structural Chemistry and Spectroscopy"
250106,"Mechanisms of Reactions","030601p","Catalysis and Mechanisms of Reactions"
250107,"Electrochemistry ","030604","Electrochemistry "
250199,"Physical Chemistry not elsewhere classified","030605","Solution Chemistry"
250199,"Physical Chemistry not elsewhere classified","030607","Transport Properties and Non-Equilibrium Processes"
250199,"Physical Chemistry not elsewhere classified","030699","Physical Chemistry not elsewhere classified"
250201,"Transition Metal Chemistry ","030207","Transition Metal Chemistry "
250202,"Main Group Metal Chemistry ","030204","Main Group Metal Chemistry "
250203,"Solid State Chemistry","030206","Solid State Chemistry"
250204,"Bioinorganic Chemistry ","030201","Bioinorganic Chemistry "
250205,"Non-Metal Chemistry","030205","Non-metal Chemistry"
250206,"f-Block Chemistry","030202","f-Block Chemistry"
250299,"Inorganic Chemistry not elsewhere classified ","030203","Inorganic Green Chemistry"
250299,"Inorganic Chemistry not elsewhere classified ","030299","Inorganic Chemistry not elsewhere classified "
250301,"Organic Chemical Synthesis ","030503","Organic Chemical Synthesis "
250302,"Biological and Medical Chemistry ","030401","Biologically Active Molecules"
250302,"Biological and Medical Chemistry ","030402","Biomolecular Modelling and Design"
250302,"Biological and Medical Chemistry ","030403","Characterisation of Biological Macromolecules"
250302,"Biological and Medical Chemistry ","030404","Cheminformatics and Quantitative Structure-Activity Relationships"
250302,"Biological and Medical Chemistry ","030405","Molecular Medicine"
250302,"Biological and Medical Chemistry ","030406","Proteins and Peptides"
250302,"Biological and Medical Chemistry ","030499","Medicinal and Biomolecular Chemistry not elsewhere classified"
250303,"Physical Organic Chemistry ","030505","Physical Organic Chemistry "
250399,"Organic Chemistry not elsewhere classified ","030501","Free Radical Chemistry"
250399,"Organic Chemistry not elsewhere classified ","030502","Natural Products Chemistry"
250399,"Organic Chemistry not elsewhere classified ","030504","Organic Green Chemistry"
250399,"Organic Chemistry not elsewhere classified ","030599","Organic Chemistry not elsewhere classified "
250401,"Separation Science ","030108","Separation Science "
250402,"Analytical Spectrometry","030101","Analytical Spectrometry"
250403,"Electroanalytical Chemistry","030102","Electroanalytical Chemistry"
"250404","Flow Analysis","030103","Flow Analysis"
250405,"Sensor (Chemical and Bio-) Technology","030107","Sensor Technology (Chemical aspects)"
250405,"Sensor (Chemical and Bio-) Technology","100101p","Agricultural Biotechnology Diagnostics (incl. Biosensors)"
250405,"Sensor (Chemical and Bio-) Technology","100204p","Environmental Biotechnology Diagnostics (incl. Biosensors)"
250405,"Sensor (Chemical and Bio-) Technology","100304p","Industrial Biotechnology Diagnostics (incl. Biosensors)"
250405,"Sensor (Chemical and Bio-) Technology","100402p","Medical Biotechnology Diagnostics (incl. Biosensors)"
250406,"Immunological and Bioassay Methods ","030104","Immunological and Bioassay Methods "
250407,"Other Instrumental Methods ","030105","Instrumental Methods (excl. Immunological and Bioassay Methods)"
250408,"Chemometrics ","030106p","Quality Assurance, Chemometrics, Traceability and Metrological Chemistry"
250409,"Quality Assurance, Traceability and Metrological Chemistry","030106p","Quality Assurance, Chemometrics, Traceability and Metrological Chemistry"
250499,"Analytical Chemistry not elsewhere classified","030199","Analytical Chemistry not elsewhere classified"
250501,"Synthesis of Macromolecules","030306p","Synthesis of Materials"
250502,"Physical Chemistry of Macromolecules ","030304p","Physical Chemistry of Materials"
250503,"Characterisation of Macromolecules ","030301p","Chemical Characterisation of Materials"
250504,"Polymerisation Mechanisms","030305","Polymerisation Mechanisms"
250599,"Macromolecular Chemistry not elsewhere classified","030303p","Optical Properties of Materials"
250599,"Macromolecular Chemistry not elsewhere classified","030399p","Macromolecular and Materials Chemistry not elsewhere classified"
250601,"Quantum Chemistry","030701","Quantum Chemistry"
250602,"Statistical Mechanics","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
250602,"Statistical Mechanics","030704","Statistical Mechanics in Chemistry"
250603,"Reaction Kinetics and Dynamics ","030703","Reaction Kinetics and Dynamics "
250604,"Radiation and Matter ","030702","Radiation and Matter "
250605,"Theory of Materials","030307p","Theory and Design of Materials"
250606,"Macromolecular Design","030307p","Theory and Design of Materials"
250699,"Theoretical and Computational Chemistry not elsewhere classified","030799","Theoretical and Computational Chemistry not elsewhere classified"
259901,"Organometallic Chemistry ","039904","Organometallic Chemistry "
259902,"Environmental Chemistry (incl. Atmospheric Chemistry)","039901","Environmental Chemistry (incl. Atmospheric Chemistry)"
259903,"Industrial Chemistry ","039903","Industrial Chemistry "
259904,"Supramolecular Chemistry ","030302p","Nanochemistry and Supramolecular Chemistry"
259999,"Chemical Sciences not elsewhere classified","030301p","Chemical Characterisation of Materials"
259999,"Chemical Sciences not elsewhere classified","030302p","Nanochemistry and Supramolecular Chemistry"
259999,"Chemical Sciences not elsewhere classified","030303p","Optical Properties of Materials"
259999,"Chemical Sciences not elsewhere classified","030304p","Physical Chemistry of Materials"
259999,"Chemical Sciences not elsewhere classified","030306p","Synthesis of Materials"
259999,"Chemical Sciences not elsewhere classified","030399p","Macromolecular and Materials Chemistry not elsewhere classified"
259999,"Chemical Sciences not elsewhere classified","039902","Forensic Chemistry"
259999,"Chemical Sciences not elsewhere classified","039999","Chemical Sciences not elsewhere classified"
260101,"Mineralogy and Crystallography","040306","Mineralogy and Crystallography"
260102,"Igneous and Metamorphic Petrology","040304","Igneous and Metamorphic Petrology"
260103,"Vulcanology","040314","Volcanology"
260104,"Sedimentology","040310","Sedimentology"
260105,"Petroleum Geology","040309","Petroleum and Coal Geology"
260106,"Ore Deposit Petrology","040307","Ore Deposit Petrology"
260107,"Structural Geology","040312","Structural Geology"
260108,"Geotectonics","040313","Tectonics"
260109,"Geochronology","040303","Geochronology"
260110,"Biostratigraphy","040311p","Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy)"
260111,"Other Stratigraphy (incl. Sequence Stratigraphy)","040311p","Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy)"
260112,"Palaeontology","040308p","Palaeontology (incl. Palynology)"
260113,"Palynology","040308p","Palaeontology (incl. Palynology)"
260114,"Geomorphology","040601p","Geomorphology and Regolith and Landscape Evolution"
260115,"Glaciology","040602","Glaciology"
260199,"Geology not elsewhere classified","040301","Basin Analysis"
260199,"Geology not elsewhere classified","040302","Extraterrestrial Geology"
260199,"Geology not elsewhere classified","040305","Marine Geoscience"
260199,"Geology not elsewhere classified","040399","Geology not elsewhere classified"
260201,"Gravity","040405","Gravimetrics"
260202,"Geomagnetism","040406","Magnetism and Palaeomagnetism"
260203,"Electromagnetism","040401","Electrical and Electromagnetic Methods in Geophysics"
260204,"Petrophysics","040499p","Geophysics not elsewhere classified"
260205,"Explosion Seismology","040407p","Seismology and Seismic Exploration"
260206,"Earthquake Seismology","040407p","Seismology and Seismic Exploration"
260207,"Radiometrics","040404","Geothermics and Radiometrics"
260299,"Geophysics not elsewhere classified","040402","Geodynamics"
260299,"Geophysics not elsewhere classified","040403","Geophysical Fluid Dynamics"
260299,"Geophysics not elsewhere classified","040499p","Geophysics not elsewhere classified"
260301,"Geochronology and Isotope Geochemistry","040203","Isotope Geochemistry"
260301,"Geochronology and Isotope Geochemistry","040299p","Geochemistry not elsewhere classified"
260302,"Exploration Geochemistry","040201","Exploration Geochemistry"
260303,"Organic Geochemistry not elsewhere classified","040204","Organic Geochemistry"
260304,"Inorganic Geochemistry not elsewhere classified","040202","Inorganic Geochemistry"
260399,"Geochemistry not elsewhere classified","040299p","Geochemistry not elsewhere classified"
260401,"Biological Oceanography","040501","Biological Oceanography"
260402,"Chemical Oceanography","040502","Chemical Oceanography"
260403,"Physical Oceanography","040503","Physical Oceanography"
260499,"Oceanography not elsewhere classified","040599","Oceanography not elsewhere classified"
260501,"Groundwater Hydrology","040603","Hydrogeology"
260502,"Surfacewater Hydrology","040608","Surfacewater Hydrology"
260599,"Hydrology not elsewhere classified","040699p","Physical Geography and Environmental Geoscience not elsewhere classified"
260601,"Meteorology","040107","Meteorology"
260602,"Climatology (incl. Palaeoclimatology)","040104","Climate Change Processes"
260602,"Climatology (incl. Palaeoclimatology)","040105","Climatology (excl. Climate Change Processes)"
260602,"Climatology (incl. Palaeoclimatology)","040605","Palaeoclimatology"
260603,"Ionospheric and Magnetospheric Physics","020107p","Mesospheric, Ionospheric and Magnetospheric Physics"
260699,"Atmospheric Sciences not elsewhere classified","040101","Atmospheric Aerosols"
260699,"Atmospheric Sciences not elsewhere classified","040102","Atmospheric Dynamics"
260699,"Atmospheric Sciences not elsewhere classified","040103","Atmospheric Radiation"
260699,"Atmospheric Sciences not elsewhere classified","040106","Cloud Physics"
260699,"Atmospheric Sciences not elsewhere classified","040108","Tropospheric and Stratospheric Physics"
260699,"Atmospheric Sciences not elsewhere classified","040199","Atmospheric Sciences not elsewhere classified"
269901,"Physical Geography","040604","Natural Hazards"
269901,"Physical Geography","040606","Quaternary Environments"
269901,"Physical Geography","040607","Surface Processes"
269901,"Physical Geography","040699p","Physical Geography and Environmental Geoscience not elsewhere classified"
269999,"Earth Sciences not elsewhere classified","040601p","Geomorphology and Regolith and Landscape Evolution"
269999,"Earth Sciences not elsewhere classified","049999","Earth Sciences not elsewhere classified"
270101,"Analytical Biochemistry","060101","Analytical Biochemistry"
270102,"Cell Metabolism","060104","Cell Metabolism"
270103,"Protein Targeting and Signal Transduction","060108","Protein Trafficking"
270103,"Protein Targeting and Signal Transduction","060111","Signal Transduction"
270104,"Membrane Biology ","060110p","Receptors and Membrane Biology"
270105,"Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)","060106","Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)"
270106,"Cell Development (incl. Cell Division and Apoptosis) ","060103","Cell Development, Proliferation and Death"
270107,"Cell Neurochemistry","060105","Cell Neurochemistry"
270108,"Enzymes","060107","Enzymes"
270199,"Biochemistry and Cell Biology not elsewhere classified ","060102","Bioinformatics"
270199,"Biochemistry and Cell Biology not elsewhere classified ","060109","Proteomics and Intermolecular Interactions (excl. Medical Proteomics)"
270199,"Biochemistry and Cell Biology not elsewhere classified ","060110p","Receptors and Membrane Biology"
270199,"Biochemistry and Cell Biology not elsewhere classified ","060112","Structural Biology (incl. Macromolecular Modelling)"
270199,"Biochemistry and Cell Biology not elsewhere classified ","060113","Synthetic Biology"
270199,"Biochemistry and Cell Biology not elsewhere classified ","060114","Systems Biology"
270199,"Biochemistry and Cell Biology not elsewhere classified ","060199","Biochemistry and Cell Biology not elsewhere classified "
270201,"Gene Expression","060405p","Gene Expression (incl. Microarray and other genome-wide approaches)"
270202,"Genome Structure ","060407p","Genome Structure and Regulation"
270203,"Population and Ecological Genetics ","060411p","Population, Ecological and Evolutionary Genetics"
270204,"Anthropological Genetics ","060401","Anthropological Genetics "
270205,"Genetic Development (incl. Sex Determination)","060403","Developmental Genetics (incl. Sex Determination)"
270206,"Genetic Immunology ","060406","Genetic Immunology "
270207,"Quantitative Genetics","060412","Quantitative Genetics (incl. Disease and Trait Mapping Genetics)"
270208,"Molecular Evolution","060409","Molecular Evolution"
270209,"Meiosis and Recombination","060402","Cell and Nuclear Division"
270210,"Neurogenetics","060410","Neurogenetics"
270299,"Genetics not elsewhere classified","060404","Epigenetics (incl. Genome Methylation and Epigenomics)"
270299,"Genetics not elsewhere classified","060405p","Gene Expression (incl. Microarray and other genome-wide approaches)"
270299,"Genetics not elsewhere classified","060407p","Genome Structure and Regulation"
270299,"Genetics not elsewhere classified","060408","Genomics"
270299,"Genetics not elsewhere classified","060411p","Population, Ecological and Evolutionary Genetics"
270299,"Genetics not elsewhere classified","060499","Genetics not elsewhere classified"
270301,"Bacteriology ","060501","Bacteriology "
270302,"Archaebacteriology ","060599p","Microbiology not elsewhere classified"
270303,"Virology ","060506","Virology "
270304,"Infectious Agents","060502","Infectious Agents"
270305,"Mycology ","060505","Mycology "
270306,"Microbial Genetics ","060503","Microbial Genetics "
270307,"Microbial Ecology","060504","Microbial Ecology"
270308,"Microbial Systematics, Taxonomy and Phylogeny","060309p","Phylogeny and Comparative Analysis"
270308,"Microbial Systematics, Taxonomy and Phylogeny","060399p","Evolutionary Biology not elsewhere classified"
270399,"Microbiology not elsewhere classified","060599p","Microbiology not elsewhere classified"
270401,"Plant Systematics, Taxonomy and Phylogeny","060309p","Phylogeny and Comparative Analysis"
270401,"Plant Systematics, Taxonomy and Phylogeny","060310","Plant Systematics and Taxonomy"
270402,"Plant Physiology ","060705","Plant Physiology "
270403,"Plant Pathology","060704","Plant Pathology"
270404,"Phycology","060701","Phycology (incl. Marine Grasses)"
270499,"Botany not elsewhere classified","060702","Plant Cell and Molecular Biology"
270499,"Botany not elsewhere classified","060703","Plant Developmental and Reproductive Biology"
270499,"Botany not elsewhere classified","060799","Plant Biology not elsewhere classified"
270501,"Animal Systematics, Taxonomy and Phylogeny ","060301","Animal Systematics and Taxonomy"
270501,"Animal Systematics, Taxonomy and Phylogeny ","060309p","Phylogeny and Comparative Analysis"
